题目,答案要点,难度,相关岗位,标签,题目类型
举例说明你对尾递归的理解，以及有哪些应用场景？,递归是指在函数的定义中使用函数自身的方法，其核心思想是把大型复杂问题层层转化为规模较小的相似问题求解，通常包含边界条件、递归前进和递归返回阶段。尾递归是递归的特殊情形，指在函数尾位置调用自身，且可通过优化使计算仅占用常量栈空间。普通递归在调用过程中，系统会为每一层的返回点、局部量等开辟栈存储，递归次数过多易造成栈溢出；而尾递归由于只存在一个调用记录，不会出现栈溢出问题。比如计算阶乘，普通递归实现时，计算5的阶乘要执行5次才返回最终计算表达式，每次都需保存方法，复杂度为O(n)；尾递归实现时，每一次返回的都是新函数，无需储存上一个函数的参数，仅保存一个调用栈，复杂度为O(1)。尾递归的应用场景包括数组求和、使用尾递归优化求斐波那契数列、数组扁平化、数组对象格式化等。,3,web前端开发/通用,算法、尾递归、递归,技术知识
去除字符串中出现次数最少的字符，不改变原字符串的顺序,去除字符串中出现次数最少的字符，若出现次数最少的字符有多个则全部删除，且不改变原字符串顺序，可通过以下步骤用JavaScript实现：首先定义一个对象存储每个字符出现的次数，遍历字符串将每个字符的出现次数保存到该对象中；接着找出出现次数最少的字符并将其从对象中删除；然后再次遍历原字符串，根据存储次数的对象过滤出符合条件的字符；最后将这些符合条件的字符拼接成新字符串并返回。,2,web前端开发/通用,算法,技术知识
请手写“快速排序”,快速排序的基本思想是通过一趟排序将待排记录分隔成独立的两部分，其中一部分记录的关键字均比另一部分的关键字小，再分别对这两部分记录继续排序以达到整个序列有序。该算法使用分治法，具体步骤为：从数列中挑出一个元素作为“基准”（pivot）；重新排序数列，所有比基准值小的元素摆放在基准前面，所有比基准值大的元素摆在基准后面（相同的数可到任一边），分区操作后基准处于数列中间位置；递归地把小于基准值元素的子数列和大于基准值元素的子数列排序。快速排序最佳情况和平均情况的时间复杂度为O(nlogn)，最差情况为O(n²)。,5,web前端开发/通用,算法、递归、排序,技术知识
洗牌算法,"洗牌算法是将原数组打散，使原数组的数在打散后的数组每个位置上等概率出现。经典的Fisher-Yates洗牌算法思想是从原始数组中随机抽取元素到新数组，步骤为：从还没处理的数组（剩余n个元素）中产生[0, n]之间的随机数random，从剩下的n个元素中取出第random个元素到新数组，删除原数组第random个元素，重复操作直到所有元素取完，该算法时间复杂度为O(n²)。Fisher-Yates的变种Knuth-Durstenfeld Shuffle是原地打乱算法，时间复杂度为O(n)，步骤为：选取数组最后一个元素，与n个元素中的任意一个交换，此时最后一个元素确定；选取倒数第二个元素，与n-1个元素中的任意一个交换；重复操作直到剩下1个元素，Durstenfeld Shuffle则是从数组第一个元素开始遍历，与Knuth的区别仅在于遍历方向。此外，还可利用Array.sort()实现打乱，适合数量小的数组，随着元素增加随机性会变差，也有基于ES6的Knuth-Durstenfeld shuffle简洁实现方式。",4,web前端开发/通用,算法、时间复杂度、HTTP、HTTPS,技术知识
什么是尾调用优化和尾递归？,尾调用指某个函数的最后一步是调用另一个函数，若调用函数后还有其他操作则不属于尾调用，尾调用不一定出现在函数尾部，只要是最后一步操作即可。函数调用会形成“调用记录”（调用帧），多个调用记录构成“调用栈”，尾调用优化是指因尾调用是函数最后一步操作，无需保留外层函数的调用记录，只需用内层函数的调用记录取代外层的，可大大节省内存。函数调用自身称为递归，尾调用自身则为尾递归，普通递归因需保存大量调用记录易发生栈溢出，而尾递归仅存在一个调用记录，不会出现栈溢出。ES6明确规定所有ECMAScript实现必须部署尾调用优化，使用尾递归可节省内存且避免栈溢出。,3,web前端开发/通用,算法、尾递归、递归,技术知识
合并K个升序链表,合并K个升序链表要求将给定的链表数组（每个链表已按升序排列）合并为一个升序链表并返回。题目给出的提示包括：k等于lists的长度，0≤k≤10^4，0≤lists[i].length≤500，-10^4≤lists[i][j]≤10^4，lists[i]按升序排列，且lists[i].length的总和不超过10^4。,5,web前端开发/通用,算法、链表,技术知识
什么是时间复杂度？,时间复杂度的计算并非计算程序具体运行时间，而是算法执行语句的次数，随着n不断增大，时间复杂度越大，算法花费时间越多。常见的时间复杂度有常数阶O(1)、对数阶O(log2 n)、线性阶O(n)、线性对数阶O(n log2 n)、平方阶O(n²)、立方阶O(n³)、k次方阶O(n^K)、指数阶O(2^n)。计算时间复杂度需选取相对增长最高的项，将最高项系数化为1，若是常数则用O(1)表示，通常计算最坏情况。若算法执行时间不随n增加而增长，即便有上千条语句，时间复杂度也是O(1)；有多个循环语句时，由嵌套层数最多的循环语句中最内层语句决定时间复杂度；循环的时间复杂度还可能与循环判断条件有关。,2,web前端开发/通用,算法、时间复杂度,技术知识
请手写“基数排序”,基数排序是按照低位先排序再收集，接着按高位排序再收集，依次类推直到最高位的排序算法，基于分别排序、分别收集，是稳定的排序算法。具体步骤为：取得数组中的最大数并确定其位数；以原始数组arr为基础，从最低位开始取每个位组成radix数组；对radix数组进行计数排序（利用计数排序适用于小范围数的特点）。基数排序最佳、最差和平均情况的时间复杂度均为O(n * k)。,5,web前端开发/通用,算法、排序,技术知识
请手写“桶排序”,桶排序的工作原理是假设输入数据服从均匀分布，将数据分到有限数量的桶里，每个桶再分别排序（可使用其他排序算法或递归使用桶排序）。具体步骤为：设置一个定量的数组作为空桶；遍历输入数据，将数据逐个放到对应的桶里；对每个非空的桶进行排序；从非空的桶里把排好序的数据拼接起来。桶排序最好情况下使用线性时间O(n)，其时间复杂度取决于对各个桶内数据排序的时间复杂度，桶划分越小，桶内数据越少，排序时间越少，但空间消耗会增大，最佳和最差情况时间复杂度为O(n+k)，平均情况为O(n²)。,5,web前端开发/通用,算法、时间复杂度、递归、排序,技术知识
请手写“计数排序”,计数排序是一种稳定的排序算法，使用额外的数组C，其中第i个元素是待排序数组A中值等于i的元素个数，再根据数组C将A中的元素排到正确位置，仅能对整数排序。具体步骤为：找出待排序数组中最大和最小的元素；统计数组中每个值为i的元素出现次数，存入数组C的第i项；对所有计数累加（从C的第一个元素开始，每一项和前一项相加）；反向填充目标数组，将每个元素i放在新数组的第C(i)项，每放一个元素就将C(i)减去1。当输入元素是n个0到k之间的整数时，运行时间为O(n + k)，计数排序不是比较排序，速度快于任何比较排序算法，但计数数组C的长度取决于待排序数组数据范围，数据范围大时需大量时间和内存，其最佳、最差和平均情况时间复杂度均为O(n+k)。,5,web前端开发/通用,算法、排序,技术知识
