题目,答案要点,难度,相关岗位,标签,题目类型
请简述 MVC 的含义，以及 Model、View、Controller 各自承担什么职责？,MVC 将界面展示、数据与业务逻辑、用户输入协调分离；Model 负责数据与规则，View 负责呈现，Controller 接收输入并驱动 Model 与 View；目标是降低耦合、便于替换界面或逻辑；在 Unity 中常见变体是 MVP/MVVM 或 UI 与逻辑分层。,2,Unity客户端开发,综合,场景题
单例模式的意图是什么？在 Unity 里实现时要注意哪些问题？,保证全局唯一实例并提供统一访问点；常用懒汉/饿汉或 MonoBehaviour 挂载空物体实现；注意多线程与生命周期，避免测试困难、隐式全局状态；可考虑依赖注入或 ScriptableObject 配置降低耦合。,2,Unity客户端开发,综合,技术知识
工厂模式解决什么问题？简单工厂、工厂方法与抽象工厂如何区分？,封装「创建对象」的细节，使调用方依赖抽象而非具体类；简单工厂用一个创建函数分支判断；工厂方法每个产品对应子类工厂；抽象工厂创建一族相关对象；游戏中常用于技能、Buff、UI 面板等按类型创建。,2,Unity客户端开发,综合,技术知识
原型模式的适用场景是什么？与直接 new 相比有什么价值？,通过克隆已有实例得到新对象，避免重复初始化成本；适合配置相近、创建开销大的对象；在 Unity 中可类比 Prefab 实例化；需注意深拷贝与浅拷贝及引用共享问题。,2,Unity客户端开发,综合,技术知识
适配器模式用于解决什么矛盾？能否举一个与第三方 SDK 集成的例子？,在不改原有接口的前提下，让不兼容的类协同工作；通过包装层把外部 API 转成项目内统一接口；例如将广告、登录 SDK 的差异封装成同一 IAdService 接口。,2,Unity客户端开发,综合,技术知识
装饰器模式与继承扩展功能相比有什么优势？,运行时动态叠加职责，比多层子类更灵活；保持接口一致，对调用方透明；典型用途是流包装、技能效果链、日志/计时等横切能力。,2,Unity客户端开发,综合,技术知识
享元模式如何节省内存？在游戏中哪些数据适合做成享元？,抽离不变的外在状态共享存储，可变部分外置；适合大量重复对象（同模型不同位置、同贴图不同坐标、粒子/植被实例）；需权衡共享与状态管理的复杂度。,2,Unity客户端开发,综合,技术知识
观察者模式的发布订阅关系如何描述？与 C# 事件有什么联系？,主题维护观察者列表，状态变化时通知；解耦发布者与订阅者；C# event/delegate 是常见实现；注意注销订阅避免泄漏，以及通知顺序与重入问题。,2,Unity客户端开发,综合,技术知识
状态模式与大量 if-else 分支相比好在哪里？,每个状态封装行为与转移条件，符合开闭原则；状态机清晰，便于调试与扩展；游戏中 AI、流程、UI 流程常用；可与表驱动或动画状态机类比理解。,2,Unity客户端开发,综合,技术知识
命令模式如何把「请求」参数化？与撤销、队列、宏命令的关系？,将操作封装为对象，可传递、排队、记录；天然支持撤销/重做（存逆向命令或快照）；宏命令组合多条命令；适合输入系统、操作历史、网络回放等。,2,Unity客户端开发,综合,技术知识
策略模式与状态模式有什么异同？各举一个游戏侧例子。,二者都通过多态替换行为；策略由外部选择算法（如不同寻路、不同伤害公式），状态强调内部转移（待机→追击→攻击）；都避免巨型 switch。,2,Unity客户端开发,综合,行为题
