题目,答案要点,难度,相关岗位,标签,题目类型
UGUI 合批常见受哪些因素影响？,需同 Canvas、同材质与同一纹理（图集），深度连续；字体与 UI 图集常不一致导致无法合批；Mask/自定义材质会打断；动态元素频繁改顶点会触发重建，宜动静分离或多 Canvas。,2,Unity客户端（UI向）,UI,行为题
UGUI 合批常见受哪些因素影响？,需同 Canvas、同材质与同一纹理（图集），深度连续；字体与 UI 图集常不一致导致无法合批；Mask/自定义材质会打断；动态元素频繁改顶点会触发重建，宜动静分离或多 Canvas。,2,Unity客户端（UI向）,UI,行为题
Unity 内置光源类型有哪些？,Directional（平行光）、Point（点光源）、Spot（聚光灯）、Area（区域光，多用于烘焙）；移动端常用前三种，注意阴影与逐像素灯数量对性能影响。,2,Unity客户端（UI向）,综合,技术知识
顶点着色器与片元（像素）着色器分别做什么？,顶点着色器按顶点运行，做空间变换、骨骼蒙皮、逐顶点光照与数据传递到下一阶段；片元着色器在光栅化后对每个片元运行，做纹理采样、光照与混合。二者都在 GPU 上执行，取代固定管线中的变换与多重纹理阶段。,4,Unity客户端（UI向）,综合,技术知识
Skinned Mesh 的渲染原理是什么？,网格顶点受骨骼矩阵与权重（蒙皮）驱动，CPU 或 GPU 做骨骼动画与蒙皮计算后提交渲染；相比静态 Mesh 每帧顶点位置会变，需注意骨骼数量、更新频率与 GPU Skinning 对性能的影响。,3,Unity客户端（UI向）,综合,场景题
MeshRenderer 的 material 与 sharedMaterial 有什么区别？,sharedMaterial 修改会影响所有共享该资源的物体并写回工程内材质资产；material 访问会为该 Renderer 创建材质实例，适合仅局部修改但易造成内存与合批问题；只读展示用 sharedMaterial，需独立参数用 material 并记得销毁实例。,4,Unity客户端（UI向）,综合,技术知识
Unity 里面怎么打图集？,Sprite Atlas（或旧版 Sprite Packer）将散图打包；设置 Include in Build、按标签/文件夹分组；注意图集尺寸与平台限制。,2,Unity客户端（UI向）,综合,技术知识
如何解决图集边缘撕裂？,留足够 padding、用双线性过滤、避免图块紧贴 Atlas 边界；必要时九宫格或内缩 UV。,2,Unity客户端（UI向）,综合,技术知识
动态UI元素如何优化？,局部重绘、禁用不可见元素、减少 Layout 每帧刷新、对象池列表项、拆分动态 Canvas。,2,Unity客户端（UI向）,综合,技术知识
为什么图片的大小要设成2的N次方？,部分平台与压缩格式要求 2 的幂次 mip 与内存对齐；非幂次可能扩容或无法压缩；现部分格式已放宽但仍建议遵循规范。,2,Unity客户端（UI向）,综合,行为题
