题目,答案要点,难度,相关岗位,标签,题目类型
css 中的 animation、transition、transform 有什么区别？,CSS中`animation`用于创建包含多个关键帧的复杂动画序列，可设置播放时长、次数、延迟、速度曲线等，支持循环播放等复杂效果；`transition`仅在元素状态改变时实现属性的平滑过渡，需指定过渡属性、时长等，适用于简单的状态切换场景；`transform`是对元素进行平移、旋转、缩放、倾斜等变形操作的属性，本身无动画效果，通常配合`animation`或`transition`实现平滑的变形动画，三者核心区别在于`animation`侧重复杂动画序列、`transition`侧重状态过渡、`transform`侧重元素变形。,2,web前端开发,CSS,技术知识
怎么做移动端的样式适配？,移动端样式适配可采用响应式设计，通过CSS媒体查询根据屏幕尺寸应用不同样式，结合百分比、rem等相对单位；使用Flexbox弹性布局和Grid网格布局实现灵活的页面布局，遵循移动端优先原则先定义小屏样式再扩展大屏样式；对图片和多媒体设置`max-width: 100%`并通过`picture`或`srcset`提供不同尺寸资源；保证交互元素有合适的触摸区域大小，同时在多设备和浏览器中测试调试，确保样式适配各类移动端场景。,3,web前端开发,CSS、媒体查询、Flexbox、响应式,技术知识
相邻的两个inline-block节点为什么会出现间隔，该如何解决？,相邻inline-block节点出现间隔是因为元素作为行内元素排版时，HTML中的空白符（空格、回车等）会被浏览器处理，默认`white-space: normal`会合并多余空白，空白符占据一定宽度导致间隔；解决方法包括移除HTML中的空格（如标签连写、用注释填充换行）、给元素设置负margin（需适配字体和大小）、将父元素`font-size`设为0再恢复子元素字体大小、使用`letter-spacing`或`word-spacing`设置负值，也可借鉴YUI等成熟方案组合相关属性处理。,1,web前端开发,CSS、class,技术知识
grid网格布局是什么？,Grid网格布局是CSS中二维的布局方式，由纵横网格线构成框架，能同时处理行与列，可将页面划分为多个主要区域并定义其大小、位置、层次等；设置`display: grid/inline-grid`的元素为网格容器，其子元素为网格项目（仅顶层子元素），容器属性包含`grid-template-columns/rows`（设置行列尺寸，支持repeat、auto-fill、fr、minmax、auto等值）、`grid-gap`（行列间距）、`grid-template-areas`（定义区域）等，项目属性包含`grid-column/row-start/end`（指定网格线定位）、`grid-area`（指定所属区域）等，适配多数现代浏览器，擅长实现复杂的二维布局场景。,3,web前端开发,CSS、class、Flex,技术知识
CSS3新增了哪些特性？,CSS3在CSS基础上新增了诸多特性，选择器方面扩充了如:nth-child、属性选择器等多种类型；样式上新增边框相关（border-radius、box-shadow、border-image）、背景相关（background-clip/origin/size/break）、文字相关（word-wrap、text-overflow、text-shadow、文字描边等）、颜色表示（rgba/hsla）；动画相关新增transition过渡、transform变形（平移/缩放/旋转/倾斜）、animation自定义动画，还有线性/径向渐变、Flex弹性布局、Grid栅格布局、多列布局、媒体查询等，且CSS3向后兼容CSS1/2，提升了样式开发的灵活性和表现力。,2,web前端开发,CSS、重绘、position,技术知识
怎么使用 CSS3 实现动画？,CSS3实现动画主要有三种方式：一是`transition`实现渐变动画，需指定过渡的CSS属性、持续时间，可选速度曲线和延迟时间，适配元素状态变化的平滑过渡（注意部分属性如display切换不支持）；二是`transform`实现转变动画，包含translate（位移）、scale（缩放）、rotate（旋转）、skew（倾斜）等功能，需配合transition使用且仅作用于块级元素；三是`animation`实现自定义动画，通过`@keyframes`定义关键帧（from/to或百分比阶段），再给元素设置animation-name、duration等属性（可简写），实现更复杂的自定义动画效果。,3,web前端开发,CSS、class,场景题
怎么理解回流跟重绘？什么场景下会触发？,回流是浏览器根据样式计算每个元素在页面的大小和位置的过程，重绘是计算完盒模型后根据元素特性绘制的过程，页面渲染先解析HTML/CSS生成DOM/CSSOM树，结合成渲染树后回流计算几何信息，再重绘生成像素最后展示；回流触发场景包括添加/删除可见DOM、元素位置/尺寸/内容变化、页面初始渲染、窗口尺寸变化，以及获取offsetTop、getComputedStyle等需即时计算的属性；重绘触发场景包括颜色/文本方向/阴影修改，且触发回流必触发重绘，浏览器会通过队列化修改优化回流，获取布局信息会强制刷新队列。,3,web前端开发,CSS、盒模型、computed、重排、重绘,技术知识
什么是响应式设计？响应式设计的基本原理是什么？如何进行实现？,响应式设计是使页面设计与开发能根据用户行为、设备环境（系统、屏幕尺寸/方向等）响应调整的布局方式，核心原理是通过媒体查询检测设备特征，结合弹性布局、相对单位等适配不同屏幕；实现方式包括使用媒体查询针对不同屏幕宽度定义样式，采用百分比、rem/vw/vh等相对单位替代固定像素，使用Flex/Grid布局实现灵活排版，遵循移动端优先原则设计样式，适配图片等媒体资源，保证交互元素适配触摸操作，同时多设备测试确保布局自适应各类场景。,5,web前端开发,CSS、媒体查询、响应式,场景题
如果使用CSS提高页面性能？,使用CSS提高页面性能可从减少回流重绘入手，如通过类名批量修改样式而非内联样式、避免频繁修改几何属性、给动画元素设fixed/absolute脱离文档流、利用CSS3硬件加速（transform/opacity等）；优化选择器（减少嵌套和复杂选择器），避免使用@import（改用link），压缩CSS代码，拆分样式文件按需加载；使用雪碧图减少图片请求，合理利用继承属性减少代码量，避免CSS表达式，设置图片等元素的尺寸避免重排，通过这些方式降低浏览器渲染开销，提升页面加载和渲染性能。,2,web前端开发,CSS、资源压缩、Webpack、Rollup,技术知识
如何实现单行／多行文本溢出的省略样式？,单行文本溢出省略可设置`white-space: nowrap`（强制不换行）、`overflow: hidden`（隐藏溢出内容）、`text-overflow: ellipsis`（显示省略号）；多行文本溢出省略可结合`display: -webkit-box`、`-webkit-line-clamp: 行数`、`-webkit-box-orient: vertical`和`overflow: hidden`（webkit内核有效），也可通过设置固定高度、行高配合overflow隐藏，或借助JS计算文本长度截断，不同方案适配不同浏览器和场景。,3,web前端开发,CSS、class、position、响应式,场景题
如何使用css完成视差滚动效果？,CSS实现视差滚动可利用`background-attachment: fixed`，使背景图片固定在视口，滚动页面时内容移动而背景不动形成视差；也可结合`transform`属性，给不同层级元素设置不同的滚动速度（如通过`translateY`结合滚动事件调整，或利用CSS变量配合`scroll-behavior`），还可使用`perspective`和`translateZ`创建3D视差效果，通过控制元素的滚动偏移量和渲染层级，实现不同元素滚动速度不同的视差体验。,3,web前端开发,CSS、HTTPS、class、继承,场景题
怎么使用 CSS 如何画一个三角形？,CSS画三角形核心是利用边框特性，先设置一个宽高为0的元素，给四个边框设置不同颜色并指定边框宽度，将不需要的边框设为透明，例如：`.triangle { width: 0; height: 0; border-width: 50px; border-style: solid; border-color: transparent transparent red transparent; }`，通过调整边框宽度和透明方向，可绘制出不同方向、大小的三角形，也可通过调整单边边框宽度实现直角三角形等变体。,2,web前端开发,CSS、class、position、伪类,技术知识
说说对 CSS 工程化的理解,CSS工程化是将工程化思想应用于CSS开发，解决大规模项目中CSS的可维护性、复用性、可扩展性等问题，核心包括模块化（拆分样式文件、隔离样式作用域）、组件化（样式与组件绑定）、预处理器（Sass/Less）、后处理器（PostCSS）、构建工具集成（Webpack等）、规范化（命名规范、代码规范）、自动化（自动前缀、压缩、按需加载），通过这些手段降低样式开发的复杂度，提升协作效率，适配大型项目的开发和维护需求。,3,web前端开发,CSS、HTTPS、Webpack、Babel,技术知识
