题目,答案要点,难度,相关岗位,标签,题目类型
React Portals 有什么用？,React Portals提供了一种将子节点渲染到存在于父组件DOM层级之外的DOM节点的方式。它的核心作用是突破父组件的DOM结构限制，比如当需要创建模态框、弹窗、提示框这类组件时，这些组件往往需要脱离当前组件的DOM层级（避免父组件的样式限制如overflow:hidden、z-index层级问题），同时又能保留React组件的上下文（如事件冒泡、props传递、状态管理等），使得组件的逻辑仍属于当前React组件树，只是渲染的DOM节点在外部，既满足DOM结构的特殊需求，又不破坏React组件的封装性和事件机制。,3,web前端开发,React、z-index、DOM、this,技术知识
react 和 react-dom 是什么关系？,React是核心库，包含了React的核心概念如组件、虚拟DOM、JSX语法解析、状态管理等核心逻辑，它并不依赖于具体的渲染环境，可用于不同的平台（如React Native、React DOM、React VR等）；而react-dom是专门针对浏览器DOM环境的渲染库，负责将React核心库创建的虚拟DOM转换为真实的DOM节点，处理DOM的挂载、更新、卸载等操作，是React核心库与浏览器DOM之间的桥梁。简单来说，React定义了组件的逻辑和虚拟DOM的结构，react-dom负责将这些逻辑和结构渲染到浏览器的DOM中，二者分工明确，React核心库不包含DOM相关的渲染逻辑，需配合react-dom才能在网页中使用。,2,web前端开发,React、DOM、const、import,技术知识
React 中为什么不直接使用 requestIdleCallback？,首先，requestIdleCallback是浏览器提供的API，用于在浏览器空闲时段调用回调函数，但它存在一些限制：一是浏览器的兼容性问题，部分旧版本浏览器不支持；二是执行时机不可靠，浏览器的空闲时间不确定，可能导致回调执行延迟，影响React更新的时效性；三是requestIdleCallback的触发频率较低，且优先级控制不够精细，无法满足React对更新调度的高要求（如区分不同优先级的更新，如用户输入、动画这类高优先级任务需优先执行）。因此React实现了自己的调度器（Scheduler），模拟并增强了requestIdleCallback的功能，不仅解决了兼容性问题，还能精细控制任务的优先级、执行时机和中断恢复，确保高优先级任务优先执行，低优先级任务在空闲时执行，提升应用的响应性。,3,web前端开发,React,技术知识
为什么 react 需要 fiber 架构，而 Vue 却不需要？,"React需要Fiber架构的核心原因是其更新机制的特性：React默认会递归遍历组件树进行虚拟DOM的对比（Reconciliation），这个过程是同步且不可中断的，当组件树庞大时，长时间的同步计算会阻塞浏览器的主线程，导致页面卡顿（如无法及时响应用户输入、动画掉帧）。Fiber架构将更新过程拆分为一个个小的工作单元，能够按需中断、暂停、恢复或放弃某个工作单元，配合调度器根据任务优先级执行，解决了同步更新阻塞主线程的问题。
而Vue不需要类似Fiber的架构，是因为Vue的响应式系统和更新机制不同：Vue通过Object.defineProperty（Vue2）或Proxy（Vue3）追踪依赖，能够精准定位到需要更新的组件，而非递归遍历整个组件树，更新的粒度更细；同时Vue的更新过程本身设计为异步批量更新，且内部做了优化（如异步队列、nextTick），能够将多次更新合并，减少DOM操作，其更新过程的耗时本身可控，不会出现长时间阻塞主线程的情况，因此无需通过Fiber这种拆分工作单元、可中断的架构来优化。此外，Vue3的响应式系统和编译优化（如PatchFlags、静态提升）进一步提升了更新效率，也无需依赖Fiber架构。",5,web前端开发,React、Fiber、懒加载、响应式,技术知识
子组件是一个 Portal，发生点击事件能冒泡到父组件吗？,能。虽然Portal渲染的DOM节点在父组件的DOM层级之外，但React的事件系统是基于虚拟DOM的合成事件系统，并非原生DOM的事件冒泡。React会将整个React组件树视为一个整体，Portal组件依然属于React组件树的一部分，其触发的合成事件会按照React组件树的层级进行冒泡，而非DOM节点的层级。例如，父组件中包含一个通过Portal渲染到body下的子组件，点击该子组件触发的点击事件，依然能在父组件的onClick事件处理函数中捕获到，这保证了组件逻辑上的事件冒泡机制不受DOM渲染位置的影响。,2,web前端开发,React、事件冒泡、代理模式、Context,技术知识
React 为什么要废弃 componentWillMount、componentWillReceiveProps、componentWillUpdate 这三个生命周期钩子？它们有哪些问题呢？React 又是如何解决的呢？,"React废弃这三个生命周期（简称“unsafe_”生命周期）的核心原因是它们存在不可预测的副作用和与React新特性（如Fiber、并发模式）不兼容的问题。
具体问题：一是这三个钩子在React的渲染流程中可能被多次调用，且执行时机不可靠。比如在Fiber架构下，组件的更新过程可能被中断、恢复甚至重新执行，导致这些钩子被重复调用，若在其中执行异步操作（如请求数据）、修改状态或DOM操作，会引发重复请求、状态不一致、内存泄漏等问题；二是componentWillReceiveProps容易被滥用，开发者常在此处根据props更新状态，导致状态来源不清晰，增加组件复杂度；三是这些钩子属于“挂载/更新前”的阶段，逻辑上容易产生副作用，违背了React倡导的纯函数、可预测的组件设计理念。
React的解决方式：一是提供了更安全的生命周期替代方案，如用componentDidMount替代componentWillMount（数据请求、订阅等副作用移至componentDidMount，确保只执行一次）；用static getDerivedStateFromProps替代componentWillReceiveProps（该方法是纯函数，无副作用，仅根据props计算状态，避免了状态更新的不可预测性）；用getSnapshotBeforeUpdate替代componentWillUpdate（在DOM更新前获取快照，用于后续componentDidUpdate中处理，避免在更新前执行副作用）；二是推广函数式组件和Hooks，Hooks（如useEffect）的设计更符合React的异步更新和并发模式，能够更清晰地管理副作用，避免生命周期钩子的滥用和副作用问题；三是将这三个钩子标记为unsafe_前缀，明确不建议使用，引导开发者迁移到新的生命周期或Hooks。",2,web前端开发,React、Fiber、this,技术知识
说说React render方法的原理？在什么时候会被触发？,"React render方法的原理：对于类组件，render方法是类组件的核心方法，它返回一个React元素（虚拟DOM），描述了组件应该渲染的内容，该方法本身是纯函数（不修改组件状态、不产生副作用、相同输入返回相同输出）；对于函数组件，整个函数体就相当于render方法，执行后返回虚拟DOM。React会将render返回的虚拟DOM转换为真实DOM（通过react-dom），当组件状态或属性变化时，render会重新执行生成新的虚拟DOM，React通过对比新旧虚拟DOM（Diff算法），计算出需要更新的最小DOM操作，然后批量更新真实DOM，这个过程称为Reconciliation（协调）。
render方法的触发时机：一是组件首次挂载时，会执行render方法生成初始虚拟DOM；二是组件的props发生变化时（父组件传递的props更新，即使是浅比较变化）；三是组件自身的state通过setState更新时（无论setState的参数是否导致state实际变化，除非在shouldComponentUpdate中返回false）；四是当组件的父组件重新渲染时，即使子组件的props未变化，子组件也会默认重新执行render（可通过React.memo/shouldComponentUpdate优化）；五是调用forceUpdate方法时，会强制触发render方法（跳过shouldComponentUpdate的判断）；六是在函数组件中，当组件的状态（useState）、上下文（useContext）变化，或依赖的props变化时，函数组件会重新执行（即相当于render触发）。",4,web前端开发,React、useState、Babel、class,技术知识
说说React事件和原生事件的执行顺序,"React事件是合成事件，其底层基于原生事件的事件委托实现，事件绑定在document上（React17及以后绑定在根节点），而非直接绑定在DOM元素上。执行顺序上，原生事件的捕获阶段先执行，然后是React合成事件的处理阶段（React合成事件没有捕获阶段的API，只有冒泡阶段，但其内部会模拟冒泡），最后是原生事件的冒泡阶段。
具体来说，若在同一个DOM元素上同时绑定原生事件（如addEventListener）和React合成事件（如onClick）：原生事件的捕获阶段（capture为true）会先触发；接着触发React合成事件；最后触发原生事件的冒泡阶段（capture为false）。若在React合成事件的处理函数中调用event.stopPropagation()，只能阻止React合成事件的冒泡，无法阻止原生事件的冒泡；若在原生事件中调用event.stopPropagation()，则会阻止React合成事件的触发（因为React合成事件的委托节点在后续的冒泡阶段）。",2,web前端开发,React、事件委托、useEffect、useRef,技术知识
说说对受控组件和非受控组件的理解，以及应用场景？,"受控组件是指组件的状态由React的state控制，表单元素（如input、select、textarea）的值与state保持同步，每次表单元素的值变化时，会通过onChange事件更新state，从而控制表单元素的值。受控组件的核心是“数据源唯一”，表单元素的值完全由React状态驱动，能够实时响应状态变化，便于对表单数据进行验证、格式化、联动等操作。
非受控组件是指组件的状态由DOM自身管理，React不直接控制其值，而是通过ref获取DOM元素的当前值，类似于原生HTML的表单操作。非受控组件无需编写onChange事件处理每个值的变化，适合快速开发简单表单，其值的获取通常在提交时进行，而非实时更新。
应用场景：受控组件适用于需要实时处理表单数据的场景，如表单验证（实时校验输入内容）、表单联动（一个输入框的变化影响另一个输入框）、动态禁用/启用表单元素、需要实时显示表单数据预览等，例如注册表单的实时手机号校验、搜索框的实时联想提示；非受控组件适用于简单的表单场景，如一次性提交的简单表单（如登录表单，仅在点击提交时获取值）、文件上传组件（input type=""file""只能通过ref获取文件，属于非受控）、集成第三方UI库且无需实时控制的表单元素，或对性能要求极高、避免频繁onChange触发重渲染的场景。",2,web前端开发,React、受控组件、非受控组件、class,技术知识
你在React项目中是如何使用Redux的? 项目结构是如何划分的？,"在React项目中使用Redux时，首先会引入redux、react-redux（连接Redux和React组件），若需要处理异步操作还会引入redux-thunk、redux-saga等中间件。核心使用流程：一是定义action types（常量），避免硬编码；二是编写action creators，返回描述动作的对象（异步action则返回函数，需中间件支持）；三是编写reducer函数，根据action type更新state，保持reducer纯函数特性；四是通过createStore创建store，结合中间件（如applyMiddleware(thunk)）；五是在根组件通过Provider将store传递给所有子组件；六是在组件中通过useSelector（函数组件）/connect（类组件）获取state，通过useDispatch/connect的dispatch方法触发action，更新store中的状态。
项目结构划分遵循模块化和单一职责原则，通常在src目录下创建store文件夹，内部细分：一是actions文件夹，按业务模块（如user、cart、order）拆分action文件，存放对应模块的action types和action creators；二是reducers文件夹，同样按业务模块拆分reducer文件，通过combineReducers合并所有reducer；三是middleware文件夹，存放自定义中间件；四是index.js文件，创建并导出store；五是selectors文件夹（可选），存放基于state的派生数据计算函数（如reselect优化）；六是types文件夹（TS项目），存放Redux相关的类型定义。组件目录中，页面组件通过hooks/connect连接Redux，UI组件仅接收props，不直接依赖Redux，保证组件的复用性和低耦合。",4,web前端开发,React、Redux、class、this,项目经历深挖
