题目,答案要点,难度,相关岗位,标签,题目类型
将数组名作为函数参数传入后，为什么在函数体内对该形参使用 sizeof 往往只能得到指针大小（例如 8），而不是整个数组占用的字节数？,在大多数表达式中数组名会退化为指向首元素的指针，形参类型实际是指针，故 sizeof(形参) 常为 sizeof(指针)。只有数组名未退化时（如同一作用域对数组对象本身 sizeof，或借助模板/引用保留数组类型），才得到整个数组字节数。,2,Unity客户端开发,综合,技术知识
请说明 C++ 中函数重载与虚函数重写（override）的含义，并说明编译器如何在编译期与运行期解析它们？,重载：同名、不同参数表，编译期静态决议。重写：覆盖基类 virtual 函数，运行期经虚表按动态类型分派；建议显式 override。,1,Unity客户端开发,综合,技术知识
名称隐藏（hide）和虚函数重写、函数重载分别是什么关系？,隐藏：派生类同名非虚函数在名字查找上遮住基类同名成员。重写：virtual + 匹配签名。重载：同一作用域内仅靠参数列表区分。,1,Unity客户端开发,综合,技术知识
仅看函数签名，能否区分「重载」与「虚函数重写」？面试时你会如何举例说明？,不能单靠签名判断设计意图：重载是编译期静态绑定；重写需要 virtual 且通过基类指针/引用调用才体现多态。举例应同时涉及 overload 集与 virtual 继承链。,2,Unity客户端开发,综合,行为题
若析构路径上仍可能抛出异常，应如何设计才安全？,析构不应向外抛异常；失败应吞并记录或 noexcept 边界处理，避免 std::terminate。C++11 起析构默认 noexcept。,2,Unity客户端开发,综合,场景题
若 close 类释放可能抛异常，有一种做法是直接终止进程，通常可用哪些手段？,可 std::terminate/std::abort；更常见是改为不抛接口或在边界捕获并记录，避免破坏全局不变量。,2,Unity客户端开发,综合,场景题
在什么前提下可以吞掉 close 引发的异常？有什么风险？,仅在安全可证、日志可审计且无更好方案时；风险是掩盖真实故障，需监控补齐。,2,Unity客户端开发,综合,技术知识
C++ 里有哪些常见多态形式？运行期多态一般依赖什么实现？,编译期：模板、重载等；运行期：虚函数与抽象接口。运行期多态依赖 vptr/vtable 与动态绑定。,4,Unity客户端开发,综合,技术知识
虚函数是什么？动态分派在常见 C++ 对象模型里如何实现？,对象含 vptr 指向 vtable，虚调用经槽位间接跳转；构造/析构阶段 vptr 可能阶段性变化。,4,Unity客户端开发,虚函数,技术知识
虚表（vtable）通常如何布局？首槽常见放什么？,每多态类常一张 vtable；首槽可能是 type_info/析构相关（因编译器而异），其后为虚函数指针。,4,Unity客户端开发,内存,技术知识
既然多态基类常要虚析构，为什么编译器生成的默认析构默认是非虚的？,非虚析构省 vptr 与间接调用成本；只有需要经基类指针多态删除派生对象时才应 virtual。,2,Unity客户端开发,虚函数,行为题
RAII 是什么？它主要解决什么问题？,构造获取资源、析构释放资源，把资源生命期绑定到对象生命期，利用栈展开保证释放并表达异常安全。,2,Unity客户端开发,综合,技术知识
用 RAII 管理资源时，应满足哪些核心要求？,构造获取、析构释放；所有权唯一；与智能指针/容器配合；析构一般不抛异常。,2,Unity客户端开发,综合,技术知识
malloc 申请的内存一般如何从操作系统进入进程？,经 ptmalloc 等分配器向内核要匿名页（brk/mmap），再切成 chunk/arena；free 归还分配器或 unmap。,2,Unity客户端开发,内存,技术知识
Linux 上 brk/sbrk 对堆扩展起什么作用？,移动 program break 扩张连续堆顶；大块常改走 mmap。,2,Unity客户端开发,综合,技术知识
mmap 做大块分配与堆分配相比有何特点？,独立映射、易 munmap 归还、减轻 brk 顶竞争；代价是管理策略不同。,2,Unity客户端开发,综合,技术知识
malloc 的典型实现会用到 arena、chunk、bin 等概念，它们各自解决什么？,arena 降锁竞争；fast/small/large bin 分级；合并相邻空闲块；top chunk 向 OS 续量。,2,Unity客户端开发,综合,技术知识
glibc malloc 中小块为何常能走 fastbin/smallbin 快速路径？,按大小类分桶，常见 O(1) 取块，减少搜索。,2,Unity客户端开发,内存,场景题
大块分配在 bin 查找上与小对象有何不同？,更多依赖 largebin、切割与 best-fit，失败再向更大 bin 或 top 申请，必要时 mmap。,2,Unity客户端开发,内存,场景题
large bin 仍无合适块时，分配器在 unsorted bin 等路径上还会做什么？,在 unsorted bin 合并整理并重新归类；向更大 bin 找可切分块，余块挂回 unsorted。,2,Unity客户端开发,数据结构,项目经历深挖
什么是 top chunk？在分配失败路径里它扮演什么角色？,堆顶剩余连续区，其它 bin 无块时从 top 切割；不足再向 OS 要。,2,Unity客户端开发,综合,场景题
为何大块倾向 mmap、小块倾向 brk？常见阈值说明什么权衡？,小块连续堆省元数据；大块独立映射易归还、减碎裂；阈值为经验折中。,2,Unity客户端开发,内存,技术知识
new/malloc 申请的内存一般落在进程地址空间哪一段？,堆/自由存储，区别于栈与静态数据段（平台细节略有差异）。,2,Unity客户端开发,内存,技术知识
malloc 与 new 分配失败时标准行为分别是什么？,malloc 返回 nullptr；默认 new 抛 bad_alloc，nothrow new 可返回 nullptr。,2,Unity客户端开发,内存,行为题
new/delete 与 malloc/free 在构造与析构上有何区别？,new/delete 会调用构造/析构；malloc/free 只管理内存。,2,Unity客户端开发,综合,技术知识
new[]/delete[] 与数组元素构造、析构如何对应？,new[] 逐元素构造；delete[] 必须配对以逐元素析构；错用 delete 是 UB。,2,Unity客户端开发,综合,技术知识
new 分配的内存能否 free？malloc 的能否 delete？后果是什么？,不可混用分配/释放函数，否则堆损坏或 UB。,2,Unity客户端开发,综合,行为题
realloc 相对手写 malloc+memcpy+free 有何优势？,可能原地扩缩容减少拷贝；仍可能搬迁，需更新指针。,2,Unity客户端开发,内存,技术知识
引用在语义上是别名，在汇编层通常与指针有何异同？,常实现为受约束指针；可能优化为直接寻址。,1,Unity客户端开发,综合,技术知识
如何推断变量大致在栈、静态区还是堆上？,看存储期与声明位置；可用取址与反汇编辅助。,2,Unity客户端开发,综合,场景题
为什么仍需要指针，而不能处处只用变量名？,需要间接寻址、动态结构、与 C ABI 交互等。,2,Unity客户端开发,综合,技术知识
指针为什么需要类型？类型信息主要在何处？,决定步长、布局与算术语义；主要在编译期。,2,Unity客户端开发,综合,技术知识
int* 与 float* 存储的地址位模式有区别吗？,位宽相同；解释方式不同。,2,Unity客户端开发,综合,技术知识
指针类型在编译期主要影响哪些检查与代码生成？,解引用、成员访问、指针算术、模板/重载匹配等。,2,Unity客户端开发,综合,技术知识
如何通过指针读取所指对象的值？,用 * 或 -> 按静态类型加载内存。,2,Unity客户端开发,内存,场景题
解引用时编译器如何确定读取宽度？,由静态类型 sizeof(T) 等决定；位域与对齐影响布局。,2,Unity客户端开发,内存,技术知识
对同一块内存做类型双关读写可能有什么问题？请结合 strict aliasing 说明。,不兼容类型别名常违反 strict aliasing，属 UB；可用 memcpy 等合法路径。,2,Unity客户端开发,内存,技术知识
