题目,答案要点,难度,相关岗位,标签,题目类型
common.js和es6中模块引入的区别？,CommonJS和ES6模块在语法、加载方式、值传递等方面差异显著。语法上，CommonJS使用`require`引入、`module.exports`导出，ES6模块则用`import`和`export`；加载方式上，CommonJS是同步加载且支持动态引入（可在函数、条件语句中使用），ES6模块为静态引入（需在文件顶部声明），浏览器中异步加载；值传递方面，CommonJS导出值的拷贝（引用类型属性修改会同步），ES6模块导出值的引用，导出值变化会同步到引用处。CommonJS主要用于Node.js环境，ES6模块是ECMAScript标准，适配现代前端，也可通过工具实现两者互兼容。,2,全栈开发/Node.js开发,Node.js、Webpack、Babel、let,技术知识
为什么Node在使用es module时必须加上文件扩展名？,"Node使用ES Module需加文件扩展名，核心原因一是无法仅通过语法区分ES模块和传统script，TC39未通过语法区分提案，需依赖文件扩展名（.mjs）或package.json的""type"": ""module""来标识ES模块；二是为兼容浏览器ES模块解析规则，浏览器中import的模块是标准URL，需完整扩展名（避免多次网络请求），Node引入ES模块需对齐浏览器一致性，而CommonJS的复杂fallback解析规则（无扩展名时依次查找文件、.js、index.js）不适合浏览器环境。此外，Web平台会将.js文件当作ES模块解析，Node则依据外部标识判断，且模块缓存基于URL，需扩展名确定唯一解析目标。",2,全栈开发/Node.js开发,Node.js、import、export、JSON,技术知识
浏览器和 Node 中的事件循环有什么区别？,浏览器事件循环核心是执行一个宏任务后，立即执行完所有微任务，常见宏任务有setTimeout、script整体代码等，微任务有Promise.then、MutationObserver等。Node的事件循环由libuv实现，分为timers、pending callbacks、idle/prepare、poll、check、close callbacks等阶段，Node10前执行完一个阶段所有任务后，先执行nextTick队列，再执行微任务队列；Node11后与浏览器行为统一，每执行一个宏任务就执行完微任务队列。,3,全栈开发/Node.js开发,Node.js、MutationObserver、事件循环、Promise,技术知识
Node性能如何进行监控以及优化？,Node性能监控需关注CPU、内存、I/O、网络指标，CPU方面看负载和使用率，内存可通过process.memoryUsage获取rss、heapUsed等指标，磁盘I/O因开销大需借助缓存优化。监控可使用Easy-Monitor 2.0，仅需在项目入口引入并指定项目名，访问指定地址即可查看进程监控数据。优化手段包括使用最新Node.js版本（受益于V8和内部代码更新）、正确使用Stream（避免大文件全量读入内存）、代码层面合并查询减少数据库交互、内存管理优化（避免内存泄露，使用对象池减少频繁创建销毁对象）。,3,全栈开发/Node.js开发,Node.js、HTTP、Stream、const,技术知识
"如果让你来设计一个分页功能, 你会怎么设计? 前后端如何交互？",分页功能核心是从结果集截取指定范围数据，前端需向后端传递页码page和每页数据量pageSize（默认10），后端根据`start = (page - 1) * pageSize`，结合limit和OFFSET编写SQL（如`SELECT * FROM record limit ${pageSize} OFFSET ${start}`），同时查询总数据量（`SELECT COUNT(*) FROM record`）计算总页数。后端返回总条数、总页数、当前页及对应数据，前端依据这些数据渲染分页控件和列表，关键是确定limit为pageSize，OFFSET为pageSize*(pageIndex-1)，以此获取指定页数据。,2,全栈开发/Node.js开发,Node.js、const、var、JSON,技术知识
如何实现文件上传？说说你的思路？,文件上传需设置请求头`content-type:multipart/form-data`，浏览器无法直接操作文件系统，需用户主动选择文件，将文件内容读入内存后提交。前端可通过form表单（指定enctype和文件输入框）提交，后端在Node.js中可借助koa-body或koa-multer解析文件：koa-body需配置multipart和文件大小限制，通过ctx.request.files获取文件，再用fs模块将文件流写入指定目录；koa-multer可配置文件存储路径和文件名规则，通过upload.single('file')处理单文件上传，最终将文件保存到服务器指定位置。,3,全栈开发/Node.js开发,Node.js、keep-alive、HTTP、Stream,场景题
如何实现jwt鉴权机制？说说你的思路？,JWT由Header、Payload、Signature三部分组成，Header声明算法，Payload存放用户信息和过期时间，Signature通过秘钥对前两者签名。实现分为生成和验证token：登录成功时，用jsonwebtoken的sign方法（传入Payload、秘钥、过期时间）生成token返回前端，前端将token存入localStorage，请求时放在Authorization请求头（前缀Bearer）；后端用koa-jwt中间件验证token，配置秘钥和白名单（如登录/注册接口），校验通过后可解析token获取用户信息，非对称加密场景可使用RS256（私钥生成、公钥验证）。JWT优点是跨语言、易扩展、可防CSRF，缺点是Payload仅简单编码，需保护秘钥，建议用HTTPS传输。,3,全栈开发/Node.js开发,Node.js、JWT、Token、接口,场景题
说说对中间件概念的理解，如何封装 node 中间件？,Node中的中间件是封装http请求细节处理的回调函数，在express、koa等框架中，接收ctx（封装req/res）和next（执行下一个中间件）参数，可执行业务逻辑、修改请求响应。Koa中间件基于洋葱圈模型，支持async函数或普通函数，封装时需保证单一职责。例如token校验中间件，可获取请求头token并验证，验证通过后调用next；日志中间件可记录请求IP、时间、耗时并写入日志文件。第三方中间件如koa-bodyparser，核心是解析post请求的表单或JSON数据，转换为对象挂在ctx.request.body；koa-static则处理静态文件请求，判断文件/文件夹，读取并响应对应内容，封装时需保证代码高效，必要时缓存重复数据。,2,全栈开发/Node.js开发,Node.js、HTTP、Token、Express、中间件,技术知识
说说 Node 文件查找的优先级以及 Require 方法的文件查找策略？,Node中require方法查找文件有固定优先级和策略：首先判断模块是否为核心模块（如fs、path），核心模块优先级最高，直接加载；若非核心模块，若路径是绝对/相对路径（以/、./、../开头），先按指定路径查找，无扩展名时依次尝试.js、.json、.node，若为文件夹则查找package.json的main字段指定文件，无则找index.js；若为非路径形式的裸模块，会从当前目录node_modules开始，逐层向上级目录查找node_modules文件夹，直到找到对应模块。文件查找优先级上，核心模块 > 缓存模块 > 路径模块 > 裸模块，且加载后的模块会缓存，后续require直接取缓存。,3,全栈开发/Node.js开发,Node.js、HTTP、递归、模块化,技术知识
说说对Nodejs中的事件循环机制理解？,Node.js的事件循环是处理非阻塞I/O的核心机制，由libuv实现，分为6个阶段：timers执行setTimeout/setInterval回调；pending callbacks执行延迟的I/O回调；idle/prepare为系统内部使用；poll阶段检索新I/O事件，执行I/O相关回调，无事件时会阻塞；check阶段执行setImmediate回调；close callbacks执行关闭相关回调（如socket.close）。微任务（Promise.then、process.nextTick）在阶段切换时执行，Node10前执行完一个阶段所有宏任务后，先执行process.nextTick队列，再执行其他微任务；Node11后与浏览器一致，每执行一个宏任务就清空微任务队列。事件循环让Node在单线程下实现异步，避免阻塞，提高性能。,3,全栈开发/Node.js开发,Node.js、事件循环、Promise、nextTick,技术知识
