题目,答案要点,难度,相关岗位,标签,题目类型
说说对 TypeScript 中命名空间与模块的理解？区别？,模块是TS基于ES模块的规范，任何包含顶级import或export的文件都是模块，用于封装代码、管理依赖，避免全局变量冲突。命名空间使用namespace定义，本质是全局对象，用于解决全局标识符重名问题。区别在于模块可以声明依赖，适合项目开发；命名空间无法清晰管理依赖，仅适合给JS库做类型声明，日常开发推荐使用模块而非命名空间。,3,web前端开发/全栈开发,TypeScript、接口、namespace、class,技术知识
说说你对 typescript 的理解？与 javascript 的区别？,TS是JS的超集，支持ES6与面向对象特性，提供静态类型检查，在编译阶段发现类型错误，最终编译为JS运行。与JS相比，TS是静态类型语言，有类型注解、接口、泛型等；JS是动态类型语言，无编译期类型检查。TS文件后缀为ts/tsx/d.ts，JS为js，TS能兼容JS代码，同时增强代码可读性与可维护性。,3,web前端开发/全栈开发,TypeScript、类型推断、泛型、接口,技术知识
Typescript中泛型是什么？,泛型是在定义函数、接口、类时不预先指定具体类型，使用时再指定类型的特性，用于提升代码复用性，避免重复定义。通过<T>表示类型参数，可用于函数、接口、类，支持多类型参数与泛型约束，能在不丢失类型信息的前提下处理多种类型数据，解决any类型不安全的问题。,3,web前端开发/全栈开发,TypeScript、联合类型、泛型、接口,技术知识
TypeScript中有哪些声明变量的方式？,TS支持let声明变量、const声明常量、var声明变量（不推荐），可在函数作用域、函数参数中声明，也能通过对象字面量、数组字面量、接口、类声明变量，所有声明都可添加类型注解规范类型。,3,web前端开发/全栈开发,TypeScript、作用域、接口、class,技术知识
什么是Typescript的方法重载？,方法重载是为同一个函数定义多个参数类型或数量不同的签名，TS在编译期根据参数匹配对应签名，实现更严格的类型检查与推断，实际运行时只有一个函数体处理所有情况，用于统一函数入口并区分不同参数逻辑。,2,web前端开发/全栈开发,TypeScript、类型推断、接口,技术知识
请实现下面的 sleep 方法,"export function sleep(ms: number): Promise<undefined> { return new Promise(resolve => { setTimeout(() => resolve(undefined), ms); }); }",2,web前端开发/全栈开发,TypeScript、Promise、export,技术知识
typescript 中的 is 关键字有什么用？,is关键字用于类型谓词函数，实现类型保护，在运行时判断变量是否属于指定类型，让TS在后续代码中自动收窄类型，常用于联合类型或类实例的类型判断。,2,web前端开发/全栈开发,TypeScript、class、this、let,技术知识
TypeScript支持的访问修饰符有哪些？,TS支持public、protected、private三种访问修饰符，public表示公共可访问，protected允许类与子类访问，private仅允许当前类访问，未指定时默认为public。,2,web前端开发/全栈开发,TypeScript,技术知识
请补充 objToArray 函数,"function objToArray(obj: Record<string, Record<string, string>>): FormatItem[] { return Object.keys(obj).reduce((res, key) => { const [op] = Object.keys(obj[key]); res.push({ key, op, value: obj[key][op] }); return res; }, [] as FormatItem[]); }",2,web前端开发/全栈开发,TypeScript、var、export,技术知识
使用TS实现一个判断传入参数是否是数组类型的方法？,function isArray(arg: unknown): boolean { return Array.isArray(arg); },3,web前端开发/全栈开发,TypeScript,技术知识
