题目,答案要点,难度,相关岗位,标签,题目类型
Vue 有了数据响应式，为何还要 diff ？,数据响应式负责感知数据变化并通知视图需要更新，但无法知道具体要更新哪个DOM节点，直接全量重绘会造成极大性能浪费，diff算法通过对比新旧虚拟DOM，精准找到最小改动点，只更新必要的DOM，实现高效渲染，响应式负责“触发更新”，diff负责“高效更新”，二者缺一不可。,5,web前端开发,Vue、Object.defineProperty、数据绑定、Proxy、响应式,技术知识
vue3 为什么不需要时间分片？,Vue3依靠精准的响应式依赖追踪、编译优化（静态提升、PatchFlags）和高效diff，每次更新范围极小、耗时极短，不会阻塞主线程，而React是全量组件比对，必须用时间分片拆分任务，因此Vue3无需时间分片也能保持流畅运行。,4,web前端开发,Vue、Object.defineProperty、事件循环、重绘,技术知识
vue3 为什么要引入 Composition API ？,为了解决Options API在复杂组件中逻辑分散、难以维护的问题，Composition API按业务逻辑聚合代码，支持更清晰的逻辑复用，避免mixin的命名冲突和来源不明问题，同时对TypeScript更友好，类型推导更自然，让大型项目更易维护和扩展。,2,web前端开发,Vue、Composition API、Options API、类型推断,技术知识
谈谈 Vue 事件机制，并手写$on、$off、$emit、$once,Vue事件机制基于发布订阅模式，通过事件中心维护事件与回调映射，$on用于订阅事件，$emit用于触发事件，$off用于取消订阅，$once用于只执行一次的订阅，手写时维护一个事件缓存对象，$on将回调存入对应事件数组，$emit遍历执行对应回调，$off移除指定或全部回调，$once包装回调执行后自动解绑。,5,web前端开发,Vue,技术知识
computed 计算值为什么还可以依赖另外一个 computed 计算值？,computed本质是响应式依赖的缓存计算，当一个computed依赖另一个computed时，会自动建立依赖链，底层数据变化后，被依赖的computed会先更新，依赖它的computed随之更新，依赖收集系统会完整追踪整条链路，同时保留缓存特性，保证计算效率与正确性。,5,web前端开发,Vue、computed、响应式、缓存,技术知识
说一下 vm.$set 原理,Vue2无法监听对象新增属性和数组索引修改，$set可以为对象新增响应式属性，或通过splice修改数组，内部使用defineReactive为属性添加getter/setter，并手动触发依赖更新，使新增数据具备响应式并触发视图更新，Vue3基于Proxy则不再需要$set。,5,web前端开发,Vue、Object.defineProperty、watch、递归、Set,技术知识
怎么在 Vue 中定义全局方法？,Vue2可将方法挂载到Vue.prototype，Vue3使用app.config.globalProperties，也可通过插件或全局mixin注册，使所有组件实例能通过this直接访问，实现全局通用方法的调用。,2,web前端开发,Vue,技术知识
Vue 中父组件怎么监听到子组件的生命周期？,父组件可通过@hook:xxx监听子组件生命周期，如@hook:mounted，也可让子组件在生命周期钩子中触发自定义事件，父组件监听该事件，两种方式都能让父组件感知子组件的生命周期执行时机。,2,web前端开发,Vue、Ref,技术知识
vue组件里写的原生addEventListeners监听事件，要手动去销毁吗？为什么？,必须手动销毁，因为原生事件监听不会随组件销毁自动移除，会持续占用内存并可能导致异常执行，需要在onUnmounted/beforeDestroy中调用removeEventListener清除，避免内存泄漏。,4,web前端开发,Vue、内存泄漏、垃圾回收、DOM,技术知识
说说 vue3 中的响应式设计原理,Vue3响应式基于Proxy实现，代理整个对象，拦截get/set/delete等操作，get时收集依赖，set时触发更新，使用WeakMap、Map、Set维护依赖关系，支持监听对象新增删除、数组索引与length变化，比defineProperty更强大、性能更好且无需递归遍历。,5,web前端开发,Vue、响应式原理、WeakMap、HTTPS、响应式,技术知识
Vue中，created和mounted两个钩子之间调用时间差值受什么影响？,差值受模板复杂度、虚拟DOM渲染耗时、子组件数量与渲染速度、同步代码执行耗时、浏览器性能影响，模板越复杂、子组件越多，中间耗时越长。,4,web前端开发,Vue、数据绑定、DOM、编译,技术知识
vue中，推荐在哪个生命周期发起请求？,推荐在created中发起，可更早请求数据，缩短页面等待时间，若需要DOM则使用mounted，服务端渲染场景下只能使用created，因为mounted在服务端不执行。,2,web前端开发,Vue、内存泄漏、SSR、DOM,技术知识
为什么 react 需要 fiber 架构，而 Vue 却不需要？,React更新是全量比对虚拟DOM，同步递归执行会阻塞主线程，Fiber可拆分任务、中断恢复，Vue基于响应式精准更新组件，范围小、速度快，不会长时间阻塞，因此不需要Fiber架构。,5,web前端开发,Vue、Fiber、懒加载、响应式,技术知识
SPA（单页应用）首屏加载速度慢怎么解决？,可通过路由懒加载、代码分割、资源压缩、图片优化、CDN加速、启用Gzip、预加载、骨架屏、SSR/SSG等方式减小包体积、提升加载速度、优化用户感知体验。,3,web前端开发,Vue、Service Worker、首屏优化、localStorage,技术知识
说下Vite的原理,Vite开发环境基于浏览器原生ES Modules按需加载，无需打包，依赖使用esbuild预构建，启动极快，热更新精准，生产环境使用Rollup打包，兼顾开发体验与生产性能。,3,web前端开发,Vue、HTTPS、Webpack、Vite,技术知识
Vue2.0为什么不能检查数组的变化，该怎么解决？,Vue2基于Object.defineProperty无法监听数组索引和length修改，解决方式是使用splice、$set、重写数组方法，或直接替换数组，Vue3已通过Proxy彻底解决该问题。,2,web前端开发,Vue、Object.defineProperty、Proxy、watch,技术知识
