题目,答案要点,难度,相关岗位,标签,题目类型
C#中所有引用类型的基类是什么？,所有引用类型最终都继承自 `System.Object`；值类型继承自 `System.ValueType`，而 `System.ValueType` 本身也继承自 `System.Object`。因此从统一根类型的角度看，所有类型最终都可以视为 `Object`。,2,Unity客户端开发,综合,行为题
C# String类型比 stringBuilder 类型的优势是什么？,`string` 的优势是不可变、语义清晰、适合做公共 API 参数和键值，线程安全语义也更好；`StringBuilder` 的优势是频繁修改时能减少中间对象分配。少量拼接时直接用 `string` 通常够用，循环中高频拼接或构造大文本时更适合 `StringBuilder`。,4,Unity客户端开发,综合,场景题
"C#函数 Func(string a, string b)用 Lambda 表达式怎么写？","Lambda 的核心是把匿名方法写成 `(参数列表) => 表达式或代码块`。如果题目只给了参数类型，还需要先明确返回值类型，例如 `Func<string,string,int> f = (a, b) => a.Length + b.Length;`；如果没有返回值，一般改用 `Action`。在 Unity 里使用 Lambda 时还要注意闭包捕获循环变量的问题。",2,Unity客户端开发,综合,技术知识
"数列1,1,2,3,5,8,13…第 n 位数是多少？用 C#递归算法实现？",public int CountNumber ( int num ) { if ( num == 1 num == 2 ) { return 1 ; } else { return CountNumber ( num 1 ) + CountNumber ( num 2 ) ; } },2,Unity客户端开发,综合,技术知识
C#中有哪些常用的容器类，各有什么特点？,"常见容器有 `Array`、`List<T>`、`Dictionary<TKey,TValue>`、`Queue<T>`、`Stack<T>`、`LinkedList<T>` 等。`List<T>` 适合顺序存储和按索引访问，`Dictionary` 适合按键快速查找，`Queue`/`Stack` 分别适合 FIFO/LIFO 场景，`LinkedList` 插入删除高效但随机访问较弱。面试里最好顺带说明各自的适用场景与时间复杂度。",4,Unity客户端开发,综合,行为题
C#中常规容器和泛型容器有什么区别，哪种效率高？,非泛型容器通常以 `object` 存储数据，值类型会发生装箱/拆箱，类型安全也较差；泛型容器在编译期就能确定元素类型，性能更稳、可读性更好，也更不容易写出类型转换错误。实际项目中除兼容旧接口外，一般优先使用泛型容器。,1,Unity客户端开发,综合,技术知识
C#中委托 和 接口有什么区别？各用在什么场合？,接口描述的是“一个类型应该具备哪些能力”，强调对象能力约束；委托描述的是“一个方法签名”，强调可调用逻辑的传递与回调。接口适合做模块抽象和多态设计，委托适合做事件、回调、排序策略等把行为当参数传递的场景。,1,Unity客户端开发,委托与事件,技术知识
C#中unsafe关键字是用来做什么的？什么场合下使用？,`unsafe` 用于启用指针等不安全代码，常见于与原生插件交互、处理连续内存或极端性能优化场景。因为它会绕开部分托管安全保护，所以只建议在确有必要时使用，并把范围控制在最小代码块中。,2,Unity客户端开发,综合,技术知识
C#中ref和out关键字有什么区别？,`ref` 和 `out` 都是引用传参。`ref` 要求调用前变量已初始化，方法内可读可写；`out` 调用前可以不赋值，但方法返回前必须赋值，常用于额外返回结果。两者都直接作用于调用方变量，而不是复制一份新值。,1,Unity客户端开发,综合,技术知识
C#中 委托和事件的区别？,大致来说，委托是一个类，该类内部维护着一个字段，指向一个方法。事件可以被看作一个委托类型的变量，通过事件注册、取消多个委托或方法。 ○ 委托就是一个类，也可以实例化，通过委托的构造函数来把方法赋值给委托实例 ○ 触发委托有2种方式: 委托实例.Invoke(参数列表)，委托实例(参数列表) ○ 事件可以看作是一个委托类型的变量 ○ 通过+=为事件注册多个委托实例或多个方法 ○ 通过 =为事件注销多个委托实例或多个方法 ○ EventHandler就是一个委托,1,Unity客户端开发,委托与事件,场景题
C#的委托是什么？有何用处？,委托类似于一种安全的指针引用，在使用它时是 当做类来看待而不是一个方法，相当于对一组方 法的列表的引用。 用处：使用委托使程序员可以将方法引用封装在 委托对象内。然后可以将该委托对象传递给可调 用所引用方法的代码，而不必在编译时知道将调 用哪个方法。与C或C++中的函数指针不同，委托 是面向对象，而且是类型安全的。,2,Unity客户端开发,委托与事件,技术知识
