题目,答案要点,难度,相关岗位,标签,题目类型
script标签放在header里和放在body底部里有什么区别？,将<script>标签放在<head>部分，浏览器会在渲染页面前先下载并解析脚本，能保证脚本全局可用，适合需页面一加载就运行的脚本，但会阻塞HTML解析和渲染，延长页面白屏时间；放在<body>底部时，浏览器可优先渲染HTML内容，提升用户体验，不会因脚本加载导致长时间白屏，不过可能延迟需页面加载前运行的脚本执行。现代可通过给<head>中的<script>加defer属性实现异步下载、页面解析完成后执行，加async属性则异步下载且下载完成后立即执行，兼顾性能与功能需求。,2,web前端开发,性能优化、预加载、DOM,技术知识
前端性能优化指标有哪些？怎么进行性能检测？,前端性能优化指标围绕用户体验展开，核心有FCP（首次内容绘制）、LCP（最大内容绘制）、FID（首次输入延迟）、TTI（可交互时间）、TBT（总阻塞时间）、CLS（累计布局位移），谷歌Web Vitals简化为LCP、FID、CLS三个核心指标，此外还有RAIL性能模型（Response需100ms内响应、Animation每帧16ms渲染、Idle任务分片小于50ms、Load尽量1s内加载完成）。性能检测可通过多种工具实现，Lighthouse是谷歌开源工具，可在Chrome调试工具中生成包含性能指标和优化建议的报告；WebPageTest可在线多地点测试已发布网站；Chrome DevTools的Network面板可分析资源请求，Coverage统计代码覆盖率，Memory面板分析内存，Performance面板监控运行时性能，还可通过web-vitals库代码层面获取指标，或安装浏览器Web Vitals插件实时查看。,3,web前端开发,性能优化、Canvas、HTTP、懒加载,技术知识
SPA（单页应用）首屏加载速度慢怎么解决？,SPA首屏加载慢可从资源加载和页面渲染优化入手，首先减小入口文件体积，通过路由懒加载将不同路由组件分割成代码块，仅在路由请求时加载；其次利用静态资源本地缓存，后端设置Cache-Control、Last-Modified等HTTP缓存响应头，前端合理使用localStorage，也可通过Service Worker实现离线缓存；UI框架按需加载，避免引入整个库，只加载使用的组件；解决组件重复打包问题，通过webpack的CommonsChunkPlugin抽离多次使用的公共依赖；压缩图片资源，使用字体图标或雪碧图减少HTTP请求；开启GZip压缩，通过webpack插件和服务器配置实现；还可使用SSR（服务端渲染），如Vue用Nuxt.js，让组件在服务端生成HTML字符串再发送到浏览器，减少前端渲染耗时。,3,web前端开发,性能优化、Service Worker、首屏优化、localStorage,技术知识
如果使用CSS提高页面性能？,CSS对页面性能影响关键，可通过内联首屏关键CSS，让浏览器下载完HTML后立即渲染，外部CSS需解析HTML时才下载，内联可提前渲染，但大体积CSS不适合内联；异步加载非首屏CSS，可通过JavaScript动态插入link标签、设置link的media属性为noexist后加载完成改回screen/all，或标记rel为alternate stylesheet后改回stylesheet，避免阻塞渲染；压缩CSS资源，借助webpack、gulp等工具减小文件体积；合理使用选择器，CSS匹配从右往左，避免嵌套三层以上复杂选择器，id选择器无需嵌套，少用通配符和属性选择器；减少使用box-shadow、border-radius等昂贵属性，降低重绘耗时；不使用@import，因其会阻塞并行下载，导致加载延迟；此外，减少重排重绘，利用CSS继承避免重复编写属性，使用CSS Sprite合并小图标，将小icon转base64，CSS3动画用transform和opacity而非left、top，同时注意CSS加载顺序，提升整体渲染效率。,2,web前端开发,性能优化、资源压缩、Webpack、Rollup,技术知识
怎么进行站点内的图片性能优化？,站点图片性能优化核心是选择合适格式，JPEG是有损压缩，支持数百万种颜色，体积小，适合色彩丰富的背景图、轮播图等，但不支持透明度，处理线条感强的图像时模糊明显；PNG是无损压缩，色彩表现力强，支持透明度，弥补JPEG局限但体积大，需根据场景选择。还可对图片进行压缩，降低体积同时尽量保证画质，使用CSS Sprite将多个小图标合并为一张图，减少HTTP请求，将小图标转为base64编码嵌入页面，避免额外请求，根据不同设备和场景选择合适分辨率的图片，按需加载图片，如懒加载，只加载可视区域内的图片，进一步提升加载性能。,3,web前端开发,性能优化,技术知识
虚拟DOM一定更快吗？,虚拟DOM并非绝对更快，其核心是通过对比虚拟节点的差异，减少真实DOM操作来提升性能，但在简单场景下，直接操作真实DOM可能更高效，比如仅修改单个DOM元素的文本内容时，虚拟DOM的创建、对比等过程会增加额外开销。只有在复杂DOM操作场景，如大量节点更新、频繁重渲染时，虚拟DOM通过批量更新、最小化DOM操作的优势才能体现，若场景简单，虚拟DOM的性能反而可能不如直接操作真实DOM。,4,web前端开发,性能优化、虚拟DOM、重排、重绘,技术知识
有些框架不用虚拟dom，但是他们的性能也不错是为什么？,不使用虚拟DOM的框架性能良好，核心原因是其采用了适配自身设计的优化策略。这类框架可能直接操作真实DOM，但通过精细化的更新策略减少DOM操作次数，比如基于模板编译时的静态分析，标记静态节点避免重复渲染，或采用细粒度的响应式系统，仅在数据变化时更新关联的DOM节点，而非全量对比；也可能利用浏览器原生API如requestAnimationFrame优化渲染时机，减少重排重绘，或通过编译优化生成更高效的渲染代码，规避虚拟DOM的额外开销，同时结合CSS过渡、动画等减少JS层面的DOM操作，从而在无虚拟DOM的情况下仍保证优秀的性能。,4,web前端开发,性能优化、requestAnimationFrame、MutationObserver、虚拟DOM,技术知识
如果某个页面有几百个函数需要执行，可以怎么优化页面的性能？,当页面有数百个函数需执行时，可从执行时机和执行方式两方面优化。首先拆分函数执行任务，将非紧急函数放到浏览器空闲时段通过requestIdleCallback执行，避免主线程长时间阻塞；对函数进行分组，优先执行首屏渲染和用户交互相关的函数，非核心函数延迟到页面加载完成后执行；利用Web Workers将计算密集型函数放到后台线程执行，避免阻塞主线程的渲染和交互；缓存函数执行结果，对重复调用且入参不变的函数，用闭包或全局对象缓存结果，避免重复计算；优化函数内部逻辑，减少不必要的循环、判断，简化复杂计算，同时避免函数嵌套过深导致的执行栈开销，还可通过函数节流、防抖控制高频执行的函数，降低执行频次，提升页面响应速度。,3,web前端开发,性能优化、requestAnimationFrame、Web Worker、线程,技术知识
讲一下png8、png16、png32的区别，并简单讲讲 png 的压缩原理？,PNG8、PNG16、PNG32的核心区别在于颜色深度和透明度支持，PNG8是8位色深，最多支持256种颜色，包含1位透明通道，仅能实现全透明或不透明；PNG16一般指16位色深，颜色数可达65536种，透明通道支持更精细；PNG32即32位PNG，包含24位RGB颜色通道和8位Alpha透明通道，能呈现约1600万种颜色，且支持0-255级别的半透明效果，色彩表现力和透明度控制最佳，但体积也最大。PNG的压缩原理基于无损压缩，主要通过DEFLATE算法（LZ77+哈夫曼编码）实现，首先对图像数据进行扫描，识别重复的像素数据序列，用较短的编码替代重复序列，再通过哈夫曼编码对这些编码进行进一步压缩，同时PNG会先将图像数据转换为预测值和差值的形式，减少数据冗余，从而在不损失图像质量的前提下减小文件体积。,5,web前端开发,性能优化,技术知识
页面加载的过程中，JS 文件是不是一定会阻塞 DOM 和 CSSOM 的构建？,页面加载时JS文件并非一定会阻塞DOM和CSSOM构建，这取决于script标签的属性和加载方式。默认情况下，浏览器解析到script标签时，会暂停DOM解析，先下载并执行JS文件，此时若CSSOM尚未构建完成，JS执行也会等待CSSOM构建完毕，因此默认的JS加载执行会阻塞DOM和CSSOM；但当script标签添加async属性时，JS异步下载，下载完成后立即执行，执行时仍会阻塞DOM解析，但不影响下载期间的DOM和CSSOM构建；添加defer属性时，JS异步下载，且在DOM解析完成后、DOMContentLoaded事件触发前执行，不会阻塞DOM构建，仅等待CSSOM构建完成后执行；此外，动态创建的script标签加载的JS，默认也不会阻塞DOM和CSSOM构建，因此JS是否阻塞需结合其加载方式判断。,3,web前端开发,性能优化、Web Worker、重绘、DOM,技术知识
