题目,答案要点,难度,相关岗位,标签,题目类型
请简述 OSI 七层模型，并说明每一层的大致职责。,物理层传比特；数据链路层成帧与可靠点到点传输；网络层寻址与路由；传输层端到端可靠/流量控制（TCP/UDP）；会话层管理会话；表示层编码加密；应用层面向用户的协议与服务。,2,Unity网络/Gameplay客户端,综合,技术知识
TCP 为什么要做拥塞控制？它通常包含哪些机制？,路由器排队溢出会导致丢包与延迟，需主动降速；典型含慢启动、拥塞避免、快速重传与快速恢复；与流量控制（接收窗口）不同，拥塞控制是全局网络友好行为。,2,Unity网络/Gameplay客户端,网络,行为题
什么是序列化与反序列化？在网络通信中起什么作用？,序列化把内存对象转为可传输的字节流；反序列化还原对象；用于跨进程、跨语言通信与持久化；需约定编码格式与版本。,1,Unity网络/Gameplay客户端,综合,技术知识
JSON、XML 与 Protobuf 各适合什么场景？游戏网络为何常用 Protobuf？,JSON 可读好、生态广；XML 冗长偏企业接口；Protobuf 二进制紧凑、解析快、字段号支持演进；弱网与高频包更适合 Protobuf/MessagePack 等二进制方案。,3,Unity网络/Gameplay客户端,综合,技术知识
什么是网络抖动？对实时游戏有什么影响？如何缓解？,抖动是端到端时延的变化量，RTT 不稳定会导致预测困难、卡顿感；缓解：抖动缓冲、插值与回滚、冗余包/前向纠错、优先 UDP+应用层可靠（如 KCP）或调 TCP 参数。,2,Unity网络/Gameplay客户端,网络,技术知识
HTTP 与 HTTPS 的主要区别是什么？,HTTPS 在 HTTP 下叠 TLS，默认 443 端口，提供加密、完整性与证书身份验证；HTTP 明文 80；敏感数据与防中间人必须用 HTTPS。,2,Unity网络/Gameplay客户端,综合,行为题
在设计网络协议或选型序列化方案时，你会先厘清哪些「核心」问题？,实时性、可靠性、带宽、CPU、跨语言、调试与抓包需求、版本演进与安全。,2,Unity网络/Gameplay客户端,综合,技术知识
Protobuf、FlatBuffers 等方案分别适用于哪些典型场景？,高吞吐战斗同步、弱网小包多用 Protobuf；需零拷贝或嵌入式可读缓冲可看 FlatBuffers；配置与人读优先 JSON/YAML。,2,Unity网络/Gameplay客户端,综合,场景题
在 Unity 项目中引入 Protobuf（或同类库）时，集成与构建流程上要关注什么？,proto 编译为各端代码、生成物入版本库或 CI；与 IL2CPP/裁剪兼容性；命名空间与程序集划分；避免重复生成冲突。,2,Unity网络/Gameplay客户端,综合,技术知识
如何用 Protobuf（或类似 IDL）描述一条网络消息并完成序列化与反序列化？,编写 .proto 定义 message 与字段号；用官方或第三方工具生成 C# 类；调用 SerializeToStream/ParseFrom；注意流式与内存块生命周期。,2,Unity网络/Gameplay客户端,综合,技术知识
序列化与反序列化在帧同步或状态同步里一般放在什么环节？,逻辑层产出结构体→序列化为字节→套包头与校验→发送；收包后拆包、校验、反序列化→投递主线程逻辑；关键路径要避免额外分配。,2,Unity网络/Gameplay客户端,综合,技术知识
与 JSON、XML 相比，Protobuf 的主要优势与代价是什么？为什么游戏里常用？,优势：体积小、解析快、强 schema；代价：可读性差、需工具链；游戏弱网高频交互更看重带宽与 CPU。,2,Unity网络/Gameplay客户端,网络,场景题
Protobuf 为什么通常不适合作为「人类直接编辑」的配置格式？,二进制/需专用工具才能读；合并冲突难肉眼解决；配置更适合 JSON/YAML/TOML 等可读格式，再转表或打包。,2,Unity网络/Gameplay客户端,网络,技术知识
