题目,答案要点,难度,相关岗位,标签,题目类型
Unity 中物理射线检测是如何判定物体碰撞的？,从起点沿方向与场景中的 Collider 求交，返回是否命中及 RaycastHit（点、法线、距离、Collider 等）；可配合 LayerMask、最大距离与 QueryTriggerInteraction；常用于拾取、射击判定、地面检测等。,4,Unity客户端开发,物理,技术知识
Unity 物理系统里的「链条关节」通常指什么？,Unity 中对应名称多为 Hinge Joint（铰链关节）：绕轴相对旋转，常用来模拟门、铰链等；若题目指「链条」式距离约束，更接近 Configurable Joint 等组合，而非 Hinge 的字面直译。,2,Unity客户端开发,综合,技术知识
Unity 中两个物体发生物理碰撞需要满足哪些条件？,双方对象都需有 Collider；至少一方需有 Rigidbody（刚体）参与动力学模拟；触发器模式（Is Trigger）走 OnTrigger 回调而非物理碰撞。,2,Unity客户端开发,物理,技术知识
Unity 里物体发生物理碰撞时，整个过程分哪几个阶段？各阶段对应哪些回调？,三阶段：进入（OnCollisionEnter）、持续（OnCollisionStay）、离开（OnCollisionExit）；若使用触发器则对应 OnTriggerEnter/Stay/Exit。,2,Unity客户端开发,物理,技术知识
Unity 中 Collider 与 Trigger（Is Trigger）有什么区别？,碰撞器是触发器的载体，而触发器只是碰撞器身 上的一个属性。 当Is Trigger=false时，碰撞器根据物理引擎引发 碰撞，产生碰撞的效果，可以调用 OnCollisionEnter/Stay/Exit函数; 当Is Trigger=true时，碰撞器被物理引擎所忽略， 没有碰撞效果，可以调用OnTriggerEnter/Stay/ Exit函数。 如果既要检测到物体的接触又不想让碰撞检测影 响物体移动或要检测一个物件是否经过空间中的 某个区域这时就可以用到触发器,1,Unity客户端开发,物理,行为题
Unity 中物理射线检测是如何判定物体碰撞的？,从起点沿方向与场景中的 Collider 求交，返回是否命中及 RaycastHit（点、法线、距离、Collider 等）；可配合 LayerMask、最大距离与 QueryTriggerInteraction；常用于拾取、射击判定、地面检测等。,4,Unity客户端开发,物理,技术知识
请简述 Unity 中物理射线检测（Raycast）的基本原理？,从起点沿方向与场景中的 Collider 求交，返回是否命中及 RaycastHit（点、法线、距离、Collider 等）；可配合 LayerMask、最大距离与 QueryTriggerInteraction；常用于拾取、射击判定、地面检测等。,4,Unity客户端开发,物理,技术知识
高速小物体撞击大物体时容易出现什么物理问题？在 Unity 中如何缓解？,易出现隧道效应（Tunneling），离散时间步内快速小球体穿过薄碰撞体而不触发碰撞。可用连续碰撞检测（CCD）、缩小时间步、Physics.SphereCast 轨迹检测、加厚碰撞体或改用射线/扫掠体预判等方式缓解。,2,Unity客户端开发,综合,技术知识
UGUI 中 Image 与 RawImage 有什么区别？各自适合哪些场景？,Image 使用 Sprite，支持九宫格/平铺等 Image Type，适合交互与样式丰富的 UI；RawImage 直接引用 Texture，适合视频帧、RenderTexture、动态图等。一般界面控件多用 Image，简单贴图展示可用 RawImage；同屏大量 UI 时注意合批与图集策略。,1,Unity客户端开发,UI,技术知识
使用 Unity 制作 2D 游戏常见有哪几种思路？,1. 使用本身UGUI，UGUI是Unity官方推出的最新UI系统，UI就是UserInterface。 2. 把摄像机的投影改为正交投影，不考虑Z轴. 3. 使用Unity自身的2D模式，在2d模式中，层级视图中只有一个正交摄像机，场景视图选择的是2D模式。 4. 使用2D TooKit插件，2D Toolkit是一组与Unity环境无缝集成的工具，提供高效的2D精灵和文本系统。,2,Unity客户端开发,综合,行为题
