题目,答案要点,难度,相关岗位,标签,题目类型
Unity 中常用的资源路径 API 有哪些？,运行时：Application.dataPath（包内只读）、streamingAssetsPath（原始资源路径，平台相关）、persistentDataPath（可读写持久化）；Resources 仅 Resources 目录且 Resources.Load；编辑器内用 AssetDatabase 获取路径、依赖与刷新，打包后不可用。,1,Unity客户端开发,综合,项目经历深挖
Unity 中有哪些常见的动态加载资源方式？,Instantiate 克隆已加载资源；AssetBundle/Addressables 按需从包体或网络加载，适合热更；Resources.Load 仅 Resources 目录且整包打入；编辑器内 AssetDatabase.LoadAssetAtPath 仅用于开发调试；商业化项目多用 AB/AA + 对象池管理生命周期。,2,Unity客户端开发,综合,技术知识
AssetBundle 打包时有哪些压缩选项？各有什么取舍？,BuildAssetBundleOptions：默认/LZMA 包体最小但加载解压慢；UncompressedAssetBundle 包体大、IO 快；ChunkBasedCompression（LZ4）在包体与解压速度间折中；按热更带宽与首包启动时延选型，并配合缓存与分块下载策略。,2,Unity客户端开发,综合,技术知识
AssetBundle 有哪些加载方式？,常用：LoadFromMemory(Async) 适合已读入字节流；LoadFromFile(Async) 适合本地包体；UnityWebRequest + DownloadHandlerAssetBundle 适合下载与缓存；先按 manifest 加载依赖再 LoadAsset；协程/异步注意完成回调与错误处理；旧版 WWW 已弃用。,2,Unity客户端开发,AssetBundle,技术知识
AssetBundle 应如何正确卸载？,Unload(false) 只卸载包内未使用资源，已实例化对象仍可访问但会丢 manifest 关联，易重复加载或泄漏；Unload(true) 连同已加载实例一并释放，需确保无引用。配合 Destroy 实例与 Resources.UnloadUnusedAssets/切场景策略；用内存分析确认无重复 AB 与材质实例。,2,Unity客户端开发,AssetBundle,行为题
Prefab 有什么作用？,作为可复用的场景对象模板，统一默认组件、引用与参数；运行时可 Instantiate，修改可同步到实例或做变体；便于版本管理、多人协作与资源分包，减少重复搭建。,1,Unity客户端开发,综合,技术知识
Unity 中有哪些常见的动态加载资源方式？,Instantiate 克隆已加载资源；AssetBundle/Addressables 按需从包体或网络加载，适合热更；Resources.Load 仅 Resources 目录且整包打入；编辑器内 AssetDatabase.LoadAssetAtPath 仅用于开发调试；商业化项目多用 AB/AA + 对象池管理生命周期。,2,Unity客户端开发,综合,场景题
请简述 Prefab 的用途？,作为可复用的场景对象模板，统一默认组件、引用与参数；运行时可 Instantiate，修改可同步到实例或做变体；便于版本管理、多人协作与资源分包，减少重复搭建。,1,Unity客户端开发,综合,技术知识
请列举 Unity 中常用的路径 API（含编辑器与运行时）？,运行时：dataPath、streamingAssetsPath、persistentDataPath；编辑器：AssetDatabase.GetAssetPath/GetDependencies/GetAllAssetPaths、Refresh；System.IO.Directory 用于磁盘目录。注意 streamingAssets 在移动端常为 jar:file 前缀，persistentDataPath 可读写适合做热更与存档。,2,Unity客户端开发,综合,场景题
Unity 中有哪些常见的动态加载资源方式？,Instantiate 克隆已加载资源；AssetBundle/Addressables 按需从包体或网络加载，适合热更；Resources.Load 仅 Resources 目录且整包打入；编辑器内 AssetDatabase.LoadAssetAtPath 仅用于开发调试；商业化项目多用 AB/AA + 对象池管理生命周期。,2,Unity客户端开发,综合,技术知识
