题目,答案要点,难度,相关岗位,标签,题目类型
common.js和es6中模块引入的区别？,CommonJS主要用于Node.js环境，使用require函数引入模块、module.exports导出模块，支持动态引入（可在函数体、条件语句中引入），采用同步加载方式，导出的是值的拷贝（引用类型修改属性会反映在所有引用处）；ES6模块是ECMAScript标准的一部分，使用import和export语法，为静态引入（必须在文件顶部声明，编译时确定依赖），浏览器中异步加载，导出的是值的引用（导出模块值变化会同步到引用处）。CommonJS和ES6模块可通过Babel、Webpack等工具实现互操作，前者适配Node.js，后者更适合现代前端开发。,3,web前端开发,ES6、Webpack、Babel、let,技术知识
Map 和 Set 的用法以及区别？,Map是键值对结构，键可以是字符串或对象，常用方法有set（添加键值对）、has（判断键是否存在）、get（获取键对应值）、delete（删除键值对），一个键只能对应一个值，后续赋值会覆盖前者；Set类似数组且成员值唯一，常用于数组去重，常用方法有add（添加元素）、delete（删除元素）、has（判断元素是否存在），初始化需一维数组。二者查找速度都极快，Set执行效率略高；Map初始化需二维数组，Set需一维数组；都不允许键/值重复；Map键不可改但值可改，Set的值就是键，无法通过迭代器修改；Map是键值对形式，Set仅有键（值即键）。,2,web前端开发,ES6、let、var、Map、Set,技术知识
es5 中的类和es6中的class有什么区别？,ES5通过构造函数和原型方式定义类，可直接执行，存在变量提升，遍历实例时能获取原型链上的属性和方法；ES6的class必须通过new调用，直接执行会报错，不存在变量提升，遍历实例无法获取原型链上的属性和方法。ES6的class有new.target属性，可检测是否通过new调用，还支持static静态方法，静态方法只能通过类调用，this指向类，静态属性和方法不可被子类继承。,3,web前端开发,ES6、原型链、变量提升、Reflect,技术知识
你是怎么理解ES6中 Decorator 的？使用场景有哪些？,ES6的Decorator即装饰器，本质是普通函数，遵循装饰者模式，能在不改变原类和不使用继承的情况下动态扩展对象功能，可装饰类或类属性。装饰类时接收类本身作为参数，也可封装外层函数传递参数；装饰类属性时接收类的原型对象、属性名、属性描述对象，多个装饰器执行顺序为从外到内进入、从内到外执行，且不能修饰函数（因函数变量声明特性）。使用场景包括简化react-redux的connect调用、实现mixins功能，还可借助core-decorators.js中的@autobind（绑定方法this到原始对象）、@readonly（设置属性/方法不可写）、@deprecate（提示方法废除）等装饰器优化代码。,2,web前端开发,ES6、装饰器、class、继承,技术知识
你是怎么理解ES6中Module的？使用场景有哪些？,ES6的Module是语言标准层面的模块化方案，可取代CommonJS和AMD，其设计思想是静态化，编译时确定依赖关系和输入输出变量。模块通过export规定对外接口，import输入其他模块功能，export default可指定默认输出，还支持动态加载（import()返回Promise）、复合写法（先输入后输出同一模块）。ES6模块内部自动启用严格模式，输入的变量只读（对象属性可改），重复导入仅执行一次。使用场景广泛，现代前端框架如Vue、React的组件化开发均依赖模块化，复杂应用也可拆分为多个模块提升可维护性。,3,web前端开发,ES6、作用域、接口、模块化,技术知识
你是怎么理解ES6中Proxy的？使用场景有哪些？,"ES6的Proxy用于定义对象基本操作的自定义行为，属于元编程，通过new Proxy(target, handler)生成实例，target是拦截的目标对象，handler包含拦截操作的函数（如get拦截属性读取、set拦截属性赋值、deleteProperty拦截删除操作等）。可借助Reflect在Proxy内部调用对象默认行为，Reflect提供了与Proxy拦截方法对应的静态方法，让Object操作更合理、更具函数化。使用场景包括保障数据类型准确性、限制私有属性的访问和修改、实现观察者模式（监听对象变化自动执行函数）等，能拦截和监视对象访问，降低函数或类的复杂度，校验复杂操作。",3,web前端开发,ES6、Object.defineProperty、Proxy、Reflect,技术知识
怎么理解ES6中 Generator的？使用场景有哪些？,ES6的Generator函数是异步编程解决方案，执行后返回遍历器对象，可遍历内部每个状态。形式上是普通函数，function与函数名间有星号，内部用yield表达式定义状态，yield可暂停遍历器对象状态，next方法可恢复执行并传递参数（作为上一个yield的返回值），遍历器对象也可通过for...of遍历。Generator可解决异步编程中的回调地狱问题，相比回调函数和Promise，能更灵活地控制异步流程，还可为原生无遍历接口的对象添加遍历能力，适用于需要分步执行、手动控制流程的异步场景。,3,web前端开发,ES6、Promise、Generator、Iterator,技术知识
你是怎么理解ES6中 Promise的？使用场景有哪些？,ES6的Promise是异步编程解决方案，用于解决回调地狱问题，代表一个异步操作的最终完成（或失败）及其结果值。Promise有三种状态：pending（进行中）、fulfilled（已成功）、rejected（已失败），状态一旦改变便不可逆，通过resolve将状态转为成功，reject转为失败，可通过then方法处理成功结果，catch方法捕获错误，finally方法执行无论成功失败都需运行的逻辑。使用场景包括文件读取、网络请求（如AJAX/fetch）、定时器异步操作等，能将嵌套的回调函数转为链式调用，提升异步代码的可读性和可维护性，还可通过Promise.all、Promise.race等方法处理多个异步操作。,3,web前端开发,ES6、Promise、const、JSON,技术知识
ES6中新增的Set、Map两种数据结构怎么理解？,Set是类似数组的有序集合，成员值唯一无重复，初始化接收一维数组，核心能力是快速去重和存在性检测，常用方法有add、delete、has，遍历速度极快，其值本身就是键，无法通过迭代器修改值；Map是键值对集合，键可以是任意类型（包括对象），初始化接收二维数组，常用方法有set、get、has、delete，一个键仅对应一个值，后续赋值会覆盖，键不可修改但值可修改，查找和操作效率远高于普通对象，弥补了普通对象键只能是字符串/符号的不足。二者都属于高性能的数据结构，适用于需要快速查找、去重、键值对存储的场景。,2,web前端开发,ES6、this、let、const,技术知识
ES6中函数新增了哪些扩展？,ES6对函数的扩展包括：允许为函数参数设置默认值，参数默认值可与解构赋值结合使用；引入rest参数（...变量名），用于获取函数的多余参数，替代arguments对象，rest参数是真正的数组，可使用数组方法；扩展了箭头函数，箭头函数语法简洁，this指向定义时所在的作用域（而非调用时），没有自己的this、arguments、super、new.target，不能作为构造函数使用；函数的name属性返回函数名，修正了ES5中匿名函数name属性为空的问题；允许函数体内使用yield表达式（Generator函数），实现分步执行；此外，还优化了函数的尾调用，尾调用优化可节省内存，提升递归函数的性能。,2,web前端开发,ES6、作用域、let、const,技术知识
