题目,答案要点,难度,相关岗位,标签,题目类型
简单描述从输入网址到页面显示的过程,从输入网址到页面显示主要经历DNS解析、发起TCP三次握手连接、发送HTTP请求、服务器处理请求并返回HTTP报文、浏览器解析HTML生成DOM树、解析CSS生成CSSOM树、合并为渲染树并绘制页面，最后完成TCP四次挥手断开连接。,4,web前端开发/后端开发,计算机网络、三次握手、四次挥手、TCP,技术知识
说说WebSocket和HTTP的区别？,HTTP是单向无状态协议，客户端请求服务端响应，请求完成后连接关闭，HTTP/1.1默认长连接；WebSocket是双向全双工有状态协议，基于TCP一次握手后建立持久连接，支持服务端主动推送，适用于实时通信场景。,2,web前端开发/后端开发,计算机网络、Cookie、keep-alive、TCP、WebSocket,技术知识
说说 https 的握手过程,HTTPS先完成TCP三次握手，再进行TLS握手：客户端发送ClientHello携带TLS版本、随机数、加密套件列表；服务端回复ServerHello选定参数并返回随机数与证书；服务端发送Server Hello Done；客户端验证证书后发送密钥参数、切换加密通知与握手验证消息；服务端验证后回复会话票据、切换加密通知与验证消息，双方协商出会话密钥开始加密通信，最后完成数据传输与TCP四次挥手。,4,web前端开发/后端开发,计算机网络、三次握手、HTTPS,技术知识
HTTP2中，多路复用的原理是什么？,HTTP/2是二进制分帧协议，将请求与响应拆分为带流ID的帧，在单个TCP连接上可同时传输多个流的帧，接收方按流ID重组消息，实现同连接多请求并行，解决HTTP/1.1队头阻塞问题。,3,web前端开发/后端开发,计算机网络、HTTP,技术知识
说说你对“三次握手”、“四次挥手”的理解,三次握手用于建立TCP连接，客户端发SYN，服务端回复SYN+ACK，客户端再发ACK，双方进入已连接状态，防止失效请求导致资源浪费；四次挥手用于断开连接，一方发FIN，对方回复ACK，待对方数据发完再发FIN，最后回复ACK，客户端需等待2MSL确保对方收到确认，避免连接异常。,4,web前端开发/后端开发,计算机网络、三次握手、四次挥手、TCP,技术知识
为什么推荐将静态资源放到cdn上？,静态资源放CDN可就近访问边缘节点，降低访问延迟、减轻源站压力，实现跨运营商跨地域覆盖，提升访问速度与稳定性，同时具备负载均衡、防攻击、异地备援能力，还能节省服务器与运维成本。,4,web前端开发/后端开发,计算机网络、接口、缓存,技术知识
什么是DNS劫持？,DNS劫持是黑客篡改DNS解析结果，将用户域名指向恶意IP，跳转到钓鱼、挂马网站，窃取信息或植入广告，常见手段有DNS缓存感染、信息劫持、ARP欺骗、利用服务器发起DDoS等，危害用户隐私与财产安全。,2,web前端开发/后端开发,计算机网络、TCP、HTTP、DNS,技术知识
TLS 1.3 做了哪些改进？,TLS 1.3废除弱加密算法，仅保留安全套件，移除RSA支持强制前向安全；握手简化为1-RTT，支持0-RTT会话复用，提升连接速度；增强安全性，降低握手时延，提升传输效率。,4,web前端开发/后端开发,计算机网络、哈希,技术知识
TLS1.2 握手的过程是怎样的？,TLS 1.2握手先由客户端发送ClientHello，携带随机数、TLS版本、加密套件；服务端回复ServerHello、证书、服务端参数；客户端验证证书，通过ECDHE计算预主密钥，结合双方随机数生成会话密钥，发送密钥参数与切换加密通知；服务端同理计算密钥，验证后回复切换加密通知与验证消息，握手完成开始加密通信。,4,web前端开发/后端开发,计算机网络、HTTP、HTTPS、哈希,技术知识
HTTP 报文结构是怎样的？,HTTP报文由起始行、头部、空行、实体四部分组成，请求报文起始行为方法+路径+版本，响应报文起始行为版本+状态码+描述；头部为键值对字段；空行分隔头部与实体；实体为请求或响应的数据体。,2,web前端开发/后端开发,计算机网络、TCP、HTTP,技术知识
HTTPS 为什么是安全的？,HTTPS通过对称加密保证传输效率，非对称加密安全协商对称密钥，数字证书验证服务端身份防止伪装，哈希摘要确保数据未被篡改，结合加密、认证、完整性校验实现安全传输。,2,web前端开发/后端开发,计算机网络、HTTP、HTTPS,技术知识
Axios的原理是什么？,Axios基于Promise封装HTTP请求，核心是request方法，支持请求与响应拦截器，通过适配器适配浏览器与Node.js环境，可取消请求，配置优先级为默认配置<实例配置<请求配置，拦截器按请求前插入、响应后追加的顺序执行。,5,web前端开发/后端开发,计算机网络、Promise、this、Axios,技术知识
说说对 HTTP3 的了解,HTTP/3基于UDP的QUIC协议，实现0-RTT连接、连接迁移，彻底解决队头阻塞；集成TLS加密，拥塞控制更灵活，支持前向纠错，传输更快更稳定，兼容HTTP/2特性并优化传输性能。,2,web前端开发/后端开发,计算机网络、拥塞控制、TCP、UDP、HTTP,技术知识
跨域时怎么处理 cookie？,跨域请求默认不携带Cookie，客户端需设置withCredentials为true，服务端需配置CORS响应头，设置Access-Control-Allow-Credentials为true并指定允许的源，双方配合实现跨域携带Cookie。,3,web前端开发/后端开发,计算机网络、同源策略、跨域、Cookie,技术知识
