题目,答案要点,难度,相关岗位,标签,题目类型
请用面试口吻说明：图形渲染管线（渲染管道）大致包含哪些阶段？,从应用层提交几何与绘制指令开始，经顶点处理（空间变换、蒙皮等）、图元装配、光栅化，再到片元着色（纹理、光照、混合），最后输出到帧缓冲；不同管线（前向/延迟/SRP）阶段划分不同，但总体是几何到像素的流水线。,1,客户端TA（渲染向）,渲染,技术知识
请写出 Lambert 漫反射项的常见形式，并说明各符号含义？,"diffuse = Kd x colorLight x max(N L,0)；Kd 漫反射系数、colorLight 光的颜色、N 单位法线向量、L 由点指向光源的单位向量、其中N与L点乘，如果结果小于等于0，则漫反射为0。",2,客户端TA（渲染向）,渲染,技术知识
请说明顶点着色器（Vertex Shader）的作用，以及从模型空间到齐次裁剪空间的大致计算流程？,顶点着色器在 GPU 上对每个顶点执行：读入顶点属性（位置、法线、UV、骨骼权重等），做空间变换（模型→世界→视图→投影，可含蒙皮与光照预处理），输出到后续图元装配与光栅化。现代管线中固定功能 T&L 已被可编程顶点阶段取代。,4,客户端TA（渲染向）,渲染,场景题
在 Unity 中 Shader 大致分哪几类？各自特点与适用场景是什么？,表面着色器（Surface Shader）：写法简洁，隐藏光照细节，适合快速实现受光照材质。顶点/片元着色器（Vertex/Fragment）：灵活最高，可控每个 Pass，但需自己对接管线与变体。固定管线 Shader 已过时，仅作极老硬件或教学兼容；新项目多用 URP/HDRP 的 HLSL/ShaderGraph。,3,客户端TA（渲染向）,渲染,技术知识
如何控制两组物体的渲染先后顺序？,主要通过材质 Render Queue、Sorting Layer/Order（2D）、以及 URP/HDRP 的 Renderer Feature 与 Pass 顺序；透明与不透明队列规则不同，需结合是否写深度、是否混合来设计，可用 Frame Debugger 验证实际绘制顺序。,2,客户端TA（渲染向）,渲染,项目经历深挖
同一块 Terrain 上分别使用 3、4、5 层地表贴图时，渲染开销通常如何变化？为什么？,层数增加一般会提高像素着色阶段的采样与混合成本，DrawCall 未必线性暴涨，但片元开销往往上升；还与 Terrain Shader、是否实例化、贴图分辨率与平台带宽有关，需结合 Profiler/Frame Debugger 对比。,1,客户端TA（渲染向）,渲染,技术知识
一个Terrain，分别贴3张，4张，5张地表贴图，渲染速度有什么区别？为什么？,同一 Terrain 多图层通常一次（或固定次数）绘制完成，层数增加主要改变采样与混合开销，差别存在但未必线性剧增；与具体 Shader 与是否实例化绘制有关。,1,客户端TA（渲染向）,渲染,技术知识
简述水面倒影的常见渲染思路？,常渲染反射 RT 或平面反射探针，再对水面用法线/UV 扰动做折射与菲涅尔混合；也可用屏幕空间反射近似；片元阶段扰动细腻、顶点少，注意排序与深度。,3,客户端TA（渲染向）,渲染,技术知识
请简述图形渲染管线的主要阶段？,应用层提交几何与绘制指令后，经顶点处理（变换、蒙皮）、图元装配与光栅化，再到片元着色（纹理、光照、混合），最终写入帧缓冲；不同管线（前向/延迟/SRP）组织方式不同，但大体遵循几何→像素流程。,2,客户端TA（渲染向）,渲染,技术知识
有两组物体 A 和 B，如何保证 A 总是先于 B 被渲染？,不透明物体常用较小 Render Queue 值更先绘制（具体以前向/URP 规则为准）；2D 用 Sorting Layer/Order；同管线内还可通过材质、Renderer 排序与相机顺序组合控制。透明物体需额外考虑排序与队列，建议用 Frame Debugger 验证实际绘制顺序。,2,客户端TA（渲染向）,渲染,技术知识
Unity的Shader中，Blend SrcAlpha OneMinusSrcAlpha这句话是什么意思？,标准 Alpha 混合：最终色 = 源色 × 源 Alpha + 目标色 × (1 − 源 Alpha)；常用于 UI 与半透明物体；注意与 Premultiplied Alpha、混合方程写法的差异。,4,客户端TA（渲染向）,渲染,项目经历深挖
在 Unity 中 Shader 大致分哪几类？各自特点与适用场景是什么？,表面着色器（Surface Shader）：写法简洁，隐藏光照细节，适合快速实现受光照材质。顶点/片元着色器（Vertex/Fragment）：灵活最高，可控每个 Pass，但需自己对接管线与变体。固定管线 Shader 已过时，仅作极老硬件或教学兼容；新项目多用 URP/HDRP 的 HLSL/ShaderGraph。,3,客户端TA（渲染向）,渲染,技术知识
结合 Unity 项目经验，请说明「从建模软件到Unity」指什么、常见用法及注意点？,FBX 导出网格、材质球与动画；统一缩放与轴向；检查导入 Rig（Humanoid/Generic）与动画压缩。,2,客户端TA（渲染向）,综合,技术知识
结合 Unity 项目经验，请说明「静态模型 vs 动态模型」指什么、常见用法及注意点？,静态可批处理/烘焙；动态受骨骼或脚本驱动，注意 SkinnedMesh 与更新频率。,2,客户端TA（渲染向）,综合,技术知识
结合 Unity 项目经验，请说明「什么是Mesh（网格）？」指什么、常见用法及注意点？,顶点、法线、UV、三角面索引构成的几何；Renderer 提交给 GPU 光栅化。,1,客户端TA（渲染向）,综合,技术知识
结合 Unity 项目经验，请说明「Mesh的组成要素」指什么、常见用法及注意点？,顶点位置、法线、切线、UV、子网格 SubMesh、骨骼权重（蒙皮）；可选颜色与第二 UV。,2,客户端TA（渲染向）,综合,项目经历深挖
结合 Unity 项目经验，请说明「渲染流程」指什么、常见用法及注意点？,CPU 提交批数据→GPU 顶点着色→图元装配→光栅化→片元着色→输出合并；受管线（Built-in/URP/HDRP）影响。,2,客户端TA（渲染向）,渲染,行为题
