题目,答案要点,难度,相关岗位,标签,题目类型
什么是 DOM 和 BOM？,DOM是表示HTML和XML文档的标准对象模型，它将文档中的元素、属性、文本等组件看作对象，可通过JavaScript动态操作页面内容、结构与样式，以树状结构组织内容，根节点是document对象。BOM是表示浏览器窗口及其组件的对象模型，用于控制浏览器窗口、地址栏、历史记录等，核心对象是window，还包含navigator、location、history、screen等对象，两者常结合使用完成页面操作与浏览器控制。,2,web前端开发,HTML、DOM,技术知识
简单描述从输入网址到页面显示的过程,输入网址后先进行DNS解析，将域名转换为对应IP地址，接着发起TCP连接并完成三次握手，之后构建并发送HTTP请求报文，服务器处理请求后返回HTTP响应报文，浏览器接收响应后解析HTML生成DOM树、解析CSS生成CSSOM树，合并为渲染树后进行布局与绘制，最终呈现页面，数据传输完成后通过四次挥手关闭TCP连接。,4,web前端开发,HTML、三次握手、四次挥手、TCP,技术知识
一台设备的dpr，是否是可变的？,dpr即设备像素比，等于设备像素除以CSS像素，设备像素是设备固定的物理数值不会改变，而CSS像素会随用户对页面的缩放操作发生变化，因此设备实际展示的dpr是可变的，通常所说的设备dpr是默认缩放100%时的固定值。,2,web前端开发,HTML,技术知识
前端该如何选择图片的格式？,图片分为位图和矢量图，压缩方式有无压缩、有损压缩和无损压缩，选择时需结合场景匹配格式。GIF是无损位图，支持动画但仅256色，适合简单图标与动图；JPEG是有损位图，支持24位真彩色、体积小，适合照片，渐进式JPEG可先模糊后清晰加载；PNG是无损位图，支持透明半透明，适合需透明效果的静态图；APNG兼容PNG特性且支持动画，但兼容性差；WEBP支持无损与有损压缩，压缩率高，适配常规场景；SVG是矢量图，可无限缩放不失真，适合图标、LOGO等简单图形。,2,web前端开发,HTML,技术知识
前端跨页面通信，你知道哪些方法？,前端跨页面通信可使用LocalStorage和SessionStorage共享数据并监听storage事件，通过Cookies在同域名页面传递数据，利用postMessage实现窗口间消息发送与接收，通过Broadcast Channel API实现同源页面广播通信，使用SharedWorker供多页面共享通信，借助IndexedDB存储共享数据，还可通过WebSockets经服务器中转实现实时通信。,3,web前端开发,HTML、Web Worker、localStorage、sessionStorage,技术知识
说说你对 Dom 树的理解,DOM是HTML文档的结构化内部数据模型，是页面渲染的基础、JS操作页面的接口，也具备安全过滤作用。DOM树由HTML解析器将网络传输的HTML字节流转换生成，先通过分词器将字节流转为Tag和文本Token，再解析为DOM节点并添加到树中。浏览器解析到script标签时会暂停DOM解析，先执行内嵌JS或下载并执行外部JS脚本，执行完毕后恢复解析流程。,3,web前端开发,HTML、Token、接口、节流、DOM,技术知识
行内元素有哪些？块级元素有哪些？ 空(void)元素有那些？,行内元素不会独占一行，常见的有span、strong、em、a、img、input等；块级元素会独占一行且前后自带换行，常用的包括div、p、h1到h6、ul、ol、li、table等；空元素没有闭合标签和内容，常见的有br、img、input、meta、link、hr等，HTML5中空元素可使用自闭合写法。,1,web前端开发,HTML,技术知识
html和css中的图片加载与渲染规则是什么样的？,浏览器先解析HTML生成DOM树，解析CSS构建样式规则，合并为渲染树后完成布局与绘制，图片加载渲染依附于此流程。解析HTML时遇到img或picture标签会立即加载图片，解析CSS时遇到background-image仅构建规则，匹配DOM后才加载。img和picture元素自身或祖先display:none时会加载但不渲染，background-image在相同条件下不加载也不渲染，相同路径图片仅加载一次，未匹配DOM或伪类未触发的背景图不会加载。,2,web前端开发,HTML、伪类,技术知识
title与h1的区别、b与strong的区别、i与em的区别？,title标签位于head内，定义文档标题，显示在浏览器标签页，对SEO重要，内容简短无需排版；h1标签位于body内，是页面内容主标题，需适配页面布局样式。b和i仅实现视觉加粗、斜体效果，无语义化含义；strong和em具备语义强调含义，HTML5中推荐用strong和em替代b和i。,2,web前端开发,HTML、语义化、SEO,技术知识
script 标签为什么建议放在 body 标签的底部（defer、async）？,浏览器自上而下解析HTML，遇到script标签会暂停DOM渲染，优先下载并执行JS脚本，放在头部会因脚本加载阻塞首屏渲染，导致白屏时间延长。放在body底部可等DOM解析完成后再执行脚本，也可使用defer或async属性实现异步加载，避免阻塞页面渲染。,2,web前端开发,HTML,技术知识
说说你对 SSG 的理解,SSG即静态网站生成，在构建阶段预先生成完整的静态HTML、CSS、JS文件，部署到CDN或静态服务器。实现时先创建页面模板，填充数据生成完整HTML，经构建工具打包后部署，具备加载快、安全性高、运维成本低的优势，适合内容稳定、更新少的网站，不适合高频动态交互场景。,3,web前端开发,HTML、CDN、SSG,技术知识
什么是HTML5，以及和HTML的区别是什么？,HTML5是HTML的新标准，由W3C与Web超文本应用技术工作组制定，无需插件即可实现动画、视频、交互等功能。与传统HTML相比，HTML5文档声明极简，仅需<!DOCTYPE html>，语义化更强，新增header、article、footer等结构标签，还扩展了Canvas、音视频、本地存储、WebSocket等新特性。,2,web前端开发,HTML、语义化,技术知识
什么是渐进增强和优雅降级？,渐进增强是先为低版本浏览器和基础设备实现核心功能，再为高版本浏览器追加效果与交互，以基础功能为核心逐步优化。优雅降级是先构建适配高版本浏览器的完整功能，再对低版本浏览器做兼容处理，两者区别在于渐进增强向前看、基础稳固，优雅降级向后看、优先保证高级功能。,3,web前端开发,HTML,技术知识
