题目,答案要点,难度,相关岗位,标签,题目类型
CharacterController 与 Rigidbody 的核心区别是什么？,Rigidbody 走完整物理模拟（力、扭矩、碰撞响应）；CharacterController 更像带碰撞滑动的运动学角色控制器，便于做台阶、坡度与第一/三人称移动，但不等价于真实刚体动力学。,1,Unity客户端开发,物理,技术知识
Unity 物理中常见的对刚体施力方式有哪些？,常用 Rigidbody.AddForce/AddRelativeForce、AddTorque、AddForceAtPosition（在指定世界坐标施力产生扭矩）等；还可通过 MovePosition/MoveRotation 做运动学式移动；力与冲量模式（ForceMode）影响瞬态与连续效果。,2,Unity客户端开发,综合,技术知识
物理更新一般放在哪个系统函数里？,应放在 FixedUpdate：物理以固定时间步推进，与渲染帧率解耦；对刚体施力与移动应在此调用，Update 适合输入与表现逻辑；低帧时仍按时间步累积，可用 Profiler 观察 Physics 模块。,2,Unity客户端开发,综合,技术知识
游戏动画常见有哪几类？各自思路是什么？,关节动画：角色分块网格拼合，实现简单但接缝明显；骨骼动画：骨骼层次+蒙皮网格，主流方案，便于压缩与 IK/重定向；顶点/形态键关键帧：对网格顶点或 BlendShape 插值，表达力强但数据与内存开销大。,4,Unity客户端开发,动画,技术知识
如何让动画反向播放？,将 Animator speed 或 AnimationState.speed 设为 -1，或倒放剪辑；注意根运动与事件帧方向；Root motion 场景需额外处理位移符号。,2,Unity客户端开发,动画,技术知识
Animator 中 Animation Layer 的作用是什么？,用于身体不同部位或不同逻辑的动画分层与混合（如上半身攻击、下半身移动）；可设权重与遮罩（Avatar Mask）；减少相互覆盖，便于状态机组织。,2,Unity客户端开发,动画,技术知识
CharacterController 与 Rigidbody 的核心区别是什么？,Rigidbody 走完整物理模拟；CharacterController 提供简化碰撞与滑动，适合角色移动但非全物理刚体。,1,Unity客户端开发,物理,技术知识
Unity 物理中常见的对刚体施力方式有哪些？,常用 AddForce/AddRelativeForce、AddTorque、AddForceAtPosition；配合 ForceMode 区分持续力与瞬时冲量；运动学控制可用 MovePosition/MoveRotation。,2,Unity客户端开发,综合,项目经历深挖
物理更新一般放在哪个系统函数里？,应放在 FixedUpdate：物理以固定时间步推进，与渲染帧率解耦；对刚体施力与移动应在此调用，Update 适合输入与表现逻辑；低帧时仍按时间步累积，可用 Profiler 观察 Physics 模块。,2,Unity客户端开发,综合,场景题
请描述游戏动画有哪几种，以及其原理？,关节动画：角色分块网格拼合，实现简单但接缝明显；骨骼动画：骨骼层次+蒙皮网格，主流方案，便于压缩与 IK/重定向；顶点/形态键关键帧：对网格顶点或 BlendShape 插值，表达力强但数据与内存开销大。,4,Unity客户端开发,动画,技术知识
CharacterController 与 Rigidbody 的核心区别是什么？,Rigidbody 走完整物理模拟（力、扭矩、碰撞响应）；CharacterController 更像带碰撞滑动的运动学角色控制器，便于做台阶、坡度与第一/三人称移动，但不等价于真实刚体动力学。,1,Unity客户端开发,物理,技术知识
Unity 物理中常见的对刚体施力方式有哪些？,常用 AddForce/AddRelativeForce、AddTorque、AddForceAtPosition；配合 ForceMode；运动学移动用 MovePosition/MoveRotation。,2,Unity客户端开发,综合,技术知识
游戏动画常见有哪几类？各自思路是什么？,关节动画：角色分块网格拼合，实现简单但接缝明显；骨骼动画：骨骼层次+蒙皮网格，主流方案，便于压缩与 IK/重定向；顶点/形态键关键帧：对网格顶点或 BlendShape 插值，表达力强但数据与内存开销大。,4,Unity客户端开发,动画,场景题
如何让动画反向播放？,将 Animator speed 或 AnimationState.speed 设为 -1，或倒放剪辑；注意根运动与事件帧方向；Root motion 场景需额外处理位移符号。,2,Unity客户端开发,动画,技术知识
Animator 中 Animation Layer 的作用是什么？,用于身体不同部位或不同逻辑的动画分层与混合（如上半身攻击、下半身移动）；可设权重与遮罩（Avatar Mask）；减少相互覆盖，便于状态机组织。,2,Unity客户端开发,动画,场景题
Unity 物理中常见的对刚体施力方式有哪些？,常用 Rigidbody.AddForce/AddRelativeForce、AddTorque、AddForceAtPosition（在指定世界坐标施力产生扭矩）等；还可通过 MovePosition/MoveRotation 做运动学式移动；力与冲量模式（ForceMode）影响瞬态与连续效果。,2,Unity客户端开发,综合,技术知识
物理更新一般放在哪个系统函数里？,应放在 FixedUpdate：物理以固定时间步（Fixed Timestep）推进，与渲染帧率解耦；对 Rigidbody 施力、MovePosition、AddForce 等应在此调用。Update 适合做输入、相机跟随等非物理逻辑。低帧时 FixedUpdate 仍按时间累积调用，可用 Profiler 看 Physics 耗时。,2,Unity客户端开发,综合,技术知识
