题目,答案要点,难度,相关岗位,标签,题目类型
bind、call、apply 有什么区别？如何实现一个bind？,bind、call、apply的核心作用都是改变函数执行时的this指向。三者第一个参数均为this要指向的对象，无该参数或参数为undefined/null时，浏览器环境下默认指向window。传参方式不同，apply第二个参数是参数数组，call后续是参数列表，bind也接收参数列表且可分多次传入；执行时机不同，apply和call改变this后立即执行，仅临时改变一次this指向，bind则返回永久绑定this的函数，不会立即执行。实现bind需先判断调用对象为函数，否则抛出错误，获取除第一个参数外的其余参数，返回一个新函数，新函数执行时，若为new调用则将this指向新实例，否则指向传入的context，再通过apply执行原函数并合并参数。,5,web前端开发/通用,编程题、this、let、const,场景题
说说new操作符具体干了什么？,new操作符用于创建构造函数的实例对象，执行过程为：创建新对象，将新对象的原型指向构造函数的原型对象，将构造函数的this绑定到新对象并执行构造函数，最后根据构造函数返回值判断，若返回值是对象则返回该对象，否则返回新建的对象。手写new操作符时，先创建空对象，设置其__proto__为构造函数原型，通过apply执行构造函数并传递参数，再根据返回值类型返回对应结果。,4,web前端开发/通用,编程题、原型链、this、let,场景题
如何实现上拉加载，下拉刷新？,上拉加载的核心是判断页面触底，通过scrollTop（滚动视窗距window顶部距离）+ clientHeight（屏幕可视高度）>= scrollHeight（页面总高度）来判定，可设置距离阈值提前触发加载。下拉刷新基于原生touch事件实现，touchstart记录初始位置，touchmove计算滑动差值，通过translateY让元素跟随滑动，设置滑动最大值，touchend时若达到最大值则触发刷新回调，之后重置元素位置。实际开发常使用better-scroll等第三方库，需注意wrapper仅一个子元素且子元素高度更高，DOM渲染完成后实例化，DOM结构变化后调用refresh，上拉/下拉结束后执行finishPullUp/finishPullDown，需点击事件则设置click:true。,3,web前端开发/通用,编程题、class、position、let,场景题
大文件怎么实现断点续传？,大文件断点续传依赖分片上传，先将文件按固定大小分割为多个数据块，生成文件唯一标识（如md5），初始化分片上传任务后串行或并行上传数据块，服务端接收后汇总整合。断点续传核心是记录上传进度，服务端将未完成的文件保存为临时文件，再次上传时，前端根据临时文件大小确定读取文件的偏移量，从该位置继续上传，服务端则从对应偏移量写入文件。还需处理文件类型判断，部分设备无法获取文件类型时，可读取二进制流解析标识位来判断，上传时将唯一标识与文件类型拼接作为文件名，实现断点续传的核心是依据唯一标识判断上传进度，直至所有分片上传完成。,2,web前端开发/通用,编程题、this、const、var,场景题
什么是防抖和节流，以及如何编码实现？,防抖和节流是优化高频率触发事件的手段，均通过setTimeout实现，降低回调执行频率。防抖指n秒内事件重复触发则重新计时，仅在连续操作结束后执行一次回调；节流指n秒内仅执行一次，无论触发多少次。节流可通过时间戳（立即执行，停止触发后无法再次执行）、定时器（延迟执行，停止触发后仍执行一次）或结合两者实现更精确的节流；防抖基础版本通过clearTimeout和setTimeout实现，连续触发时重置定时器，如需立即执行可增加immediate参数，第一次触发时立即执行，后续需等待计时结束。防抖适用于搜索框输入、手机号验证、窗口resize等场景，节流适用于滚动加载、搜索联想等场景。,5,web前端开发/通用,编程题、Context、防抖、节流,场景题
说说ajax的原理，以及如何实现？,AJAX即异步的JavaScript和XML，核心原理是通过XMLHttpRequest对象向服务器发异步请求，获取数据后用JavaScript操作DOM更新页面。实现步骤为：创建XMLHttpRequest实例，通过open方法建立与服务端的连接（指定请求方式、地址、是否异步等），通过send方法发送数据（GET请求需将参数拼在url后，send传null；POST请求直接传参数），绑定onreadystatechange事件监听readyState状态，当readyState为4（请求完成）且status在200-300之间时，处理服务端返回的responseText数据，失败则处理错误状态。可封装ajax函数，统一处理请求方式、参数、成功和失败回调。,3,web前端开发/通用,编程题、HTTP、DOM、const,场景题
深拷贝浅拷贝有什么区别？怎么实现深拷贝？,浅拷贝和深拷贝针对引用类型，浅拷贝仅拷贝一层，基本类型拷贝值，引用类型拷贝内存地址，新旧对象共享深层引用类型属性；深拷贝则递归拷贝所有层级，新旧对象完全独立，互不影响。浅拷贝可通过遍历对象赋值、Object.assign、扩展运算符实现；深拷贝基础实现可通过递归遍历对象，遇到基本类型直接赋值，遇到引用类型则创建新对象继续递归拷贝，也可使用JSON.parse(JSON.stringify())（但无法处理函数、正则、循环引用等），处理复杂场景需手动处理循环引用、特殊类型（如Date、RegExp）等。,5,web前端开发/通用,编程题、深拷贝、浅拷贝、递归,场景题
用js实现二叉树的定义和基本操作,二叉树节点可定义为包含值、左子节点、右子节点的对象，构造函数初始化这些属性。基本操作包括创建二叉树（通过实例化节点并关联左右子节点）、前序遍历（根-左-右，递归或栈实现）、中序遍历（左-根-右，递归或栈实现）、后序遍历（左-右-根，递归或栈实现）、层序遍历（按层级遍历，队列实现）、查找节点（递归遍历匹配值）、插入节点（按规则找到空位置插入）、删除节点（区分叶子节点、单子节点、双子节点情况，双子节点需找后继节点替换）。,3,web前端开发/通用,编程题、排序、链表、class,场景题
如何实现一个轮播图组件？,轮播图组件核心包含容器、轮播项、切换按钮、指示器，通过CSS设置容器溢出隐藏，轮播项横向排列。JS实现自动轮播（setInterval切换轮播项）、手动切换（点击按钮或指示器切换）、轮播边界处理（最后一项切回第一项，第一项切到最后一项）、鼠标悬停暂停轮播（clearInterval）、离开恢复。可通过改变轮播项容器的transform: translateX实现滑动效果，或切换display属性，还需处理指示器与轮播项的联动，切换时更新指示器激活状态，考虑过渡动画提升体验，兼容不同屏幕尺寸，保证轮播项自适应。,3,web前端开发/通用,编程题、class、position、let,场景题
写出一个函数trans，将数字转换成汉语的输出，输入为不超过10000亿的数字,函数trans需先定义数字对应的中文汉字（零、一至九）、单位（十、百、千、万、亿），处理数字的每一位，按数位拆分（亿、万、千、百、十、个），处理零的显示（连续零仅显示一个，末尾零不显示），处理单位拼接（如亿、万的添加，十位数的特殊处理，如11读十一而非一十一）。步骤为：将数字转为字符串，按亿、万拆分分段，逐段处理每一位数字，拼接对应单位和汉字，去除多余的零和单位，最终返回规范的汉语数字字符串。,3,web前端开发/通用,编程题、let、const,场景题
