"题目","答案要点","难度","相关岗位","标签","题目类型"
"Unity 手游里资源热更新常见有哪些方案？客户端从下载到加载的大致流程是什么？","常见两类：整包（母包内 StreamingAssets 带齐或带大部分资源，首启可能复制到 persistentDataPath）与分包（小包体 + CDN 按需下载）。流程：拉版本/MD5 清单 → 比对差异 → UnityWebRequest 等下载 → 校验完整性 → 写入可写目录 → 运行时优先热更路径再回退包内路径。注意只读目录与持久化目录区分、弱网重试与磁盘空间。","2","Unity客户端（热更/脚本向）","Lua","技术知识"
"请用面试语言说明：Lua 里如何用表和元表模拟面向对象？","对象本质是表；方法用第一个参数 self（冒号语法隐式传入）。共享行为靠元表 __index 指向原型表实现“类字段/方法查找”。继承可让子表元表 __index 指向父“类”表，或 __index 设为函数在多个父表间查找。多重继承复杂且慢，项目里常扁平化拷贝方法。私有性可用闭包持有状态表、对外只暴露接口表。","4","Unity客户端（热更/脚本向）","Lua","技术知识"
"Lua 有哪几种基本类型？各自典型用途是什么？","共 8 种：nil（空/删除键）、boolean、number（双精度，整数亦用 number）、string、function、userdata（如 C 侧对象）、thread（协程）、table（数组/字典/对象载体）。热更与脚本里 table + function 最核心；thread 用于协程；userdata 对接引擎对象。","1","Unity客户端（热更/脚本向）","Lua","技术知识"
"pairs 与 ipairs 有何区别？从表在 Lua 中的实现角度如何理解？","Lua table 同时可有数组段与哈希段。ipairs 从 1 起按整数键顺序遍历，遇第一个空洞（nil）即停，适合连续数组。pairs 以内部顺序遍历所有键值，可覆盖非连续数字键与字符串键等。数字键不会被 pairs 转成字符串，此前说法不成立。选型按数据形态：规则数组用 ipairs，混合键或字典用 pairs。","2","Unity客户端（热更/脚本向）","内存","技术知识"
"在游戏客户端语境下，「热更新」通常指什么？","指不发新安装包即可更新资源或脚本逻辑：下载新 AssetBundle/配置/字节码等到本地可写目录，下次启动或运行时切换加载路径。与整包过商店审核的更新相对；代码热更在 iOS 等受限环境需合规方案（如 Lua/xLua、HybridCLR 等），资源热更更普遍。","3","Unity客户端（热更/脚本向）","Lua","技术知识"
"Unity 下主流的「逻辑热更」方案有哪些？各自适用边界是什么？","Lua 系（xLua/tolua 等）：成熟、需维护 C#/Lua 绑定与 GC 双栈。ILRuntime：解释 IL，历史项目仍有；HybridCLR：补齐 AOT 热更能力，生态上升。Puerts：TS/JS 侧。纯 DLL 动态加载依赖 JIT，IL2CPP/iOS 通常不可直接替换托管 DLL。选型看平台、性能、团队栈与合规。","3","Unity客户端（热更/脚本向）","综合","技术知识"
"AssetBundle 是什么？一般用来解决什么问题？","Unity 将资源打成可独立加载的归档（可压缩），内含序列化对象与依赖信息。用途：缩小首包、做 DLC、按平台切换资源、配合热更 CDN。加载后得到 AssetBundle 对象，再 LoadAsset 出具体资源；需管理依赖与卸载避免内存与残留。","2","Unity客户端（热更/脚本向）","AssetBundle","技术知识"
"从打 AB 到线上热更，工程上典型要做哪些步骤？","编辑器里为资源设 AssetBundle 名与变体；BuildPipeline.BuildAssetBundles 出包与 manifest；上传服务器；客户端比对版本/Manifest；下载到 persistentDataPath；LoadFromFile/LoadFromMemoryAsync 等加载；按依赖先加载依赖 AB；不用时 Unload(false) 释包壳或 Unload(true) 连同实例一并处理（慎用）。","2","Unity客户端（热更/脚本向）","AssetBundle","行为题"
"AssetBundle 常见压缩格式有哪些？如何取舍？","LZMA：包体最小，加载需解压、首包或首拉耗时高。LZ4：体积略大、解压快，适合运行时频繁加载。Uncompressed：最大、CPU 解压成本最低。移动端热更常选 LZ4 平衡 IO 与 CPU；仅当极在意 CDN 流量时用 LZMA 并配合缓存策略。","2","Unity客户端（热更/脚本向）","AssetBundle","技术知识"
"AssetBundle 上加载资源有哪些 API？同步与异步差异是什么？","LoadAsset/LoadAllAssets/LoadAssetWithSubAssets 及对应 Async。异步分帧推进，不阻塞主线程但完成至少晚一帧；同步立即返回。热更与大资源优先异步并配合进度与超时；注意 Async 结果在主线程回调。","4","Unity客户端（热更/脚本向）","AssetBundle","项目经历深挖"
"AssetBundle.Unload(false) 与 Unload(true) 有什么区别？Resources.UnloadUnusedAssets 呢？","Unload(false)：释放 AB 对象本身，已实例化的资源仍可保留（易造成重复加载同资源时重复副本，需谨慎）。Unload(true)：同时卸载由该 AB 加载出来的资源实例。Resources.UnloadUnusedAssets 异步释放无引用托管资源。Destroy 销毁场景对象实例，与 AB 生命周期不同；避免混用概念导致丢资源或双份内存。","2","Unity客户端（热更/脚本向）","AssetBundle","技术知识"
"打包 AB 时依赖列表一般怎么生成？构建管线关键调用是什么？","用 AssetDatabase.GetDependencies 或构建时生成的 manifest 记录依赖。代码侧组装 AssetBundleBuild，指定 assetNames 与 bundleName；BuildPipeline.BuildAssetBundles 输出目录含主 manifest。可把依赖信息写入自定义清单供运行时先拉依赖包。","2","Unity客户端（热更/脚本向）","综合","行为题"
"客户端如何解析版本清单并加载 AB？典型顺序是什么？","读服务器版本文件（JSON/二进制/protobuf 等）得到待更新文件列表与 MD5/CRC；下载到本地后校验；解析 manifest 得 AB 依赖关系；对目标 AB 先加载其依赖 AB，再 LoadFromFileAsync；完成后在回调里 LoadAsset 并交付逻辑层；错误要回滚与重试。","2","Unity客户端（热更/脚本向）","AssetBundle","项目经历深挖"
"整包热更与分包热更各有什么优缺点？海内外常见选型差异？","整包：首启少联网拉资源，但安装包大、商店下载久。分包：包体小，但首启可能要下大量资源、对 CDN 与弱网要求高。海外常因商店体积政策偏分包；国内部分产品仍整包或混合。可灰度与分渠道策略。","1","Unity客户端（热更/脚本向）","Lua","技术知识"
"一次完整热更从「出包」到「玩家进游戏」可拆成哪些阶段？","出包侧：增量资源、算 MD5、写版本号、上传 CDN/版本服。客户端：启动拉版本 → 比对 → 下载差异 → 解压/写入热更目录 → 进入游戏后加载器优先热更路径。若含 Lua：可替换 package.loaded 或下发新字节码/文本再 require。","2","Unity客户端（热更/脚本向）","Lua","行为题"
"Lua 里用元表实现继承时，setmetatable 与 __index 各起什么作用？","setmetatable(t, {__index = parent}) 让 t 查找不到的键落到 parent。子表可覆盖同名键；调用父方法可用 parent.method(self, ...) 或 class.__index 为函数做多父查找。注意 rawget/rawset 绕过元方法。","4","Unity客户端（热更/脚本向）","Lua","技术知识"
"请归纳Lua的八种基本类型及其在面试中的常考知识点？","nil/boolean/number/string/function/userdata/thread/table。考点：number 双精度与整数精度范围、string 不可变、table 数组与哈希一体、function 为第一类值、thread 与协程、userdata 与 C API 交互。","1","Unity客户端（热更/脚本向）","Lua","技术知识"
"pairs 和 ipairs 在实际业务里怎么选？","连续列表遍历用 ipairs，语义清晰且在 1..n 无洞时高效。配置表、稀疏数组、混合键用 pairs。不要在遍历中无序删改表结构；需删时先收集再处理或倒序索引删除。","1","Unity客户端（热更/脚本向）","Lua","项目经历深挖"
"Lua 中点号与冒号调用方法有何区别？","点号需显式传 self：obj.method(obj, ...)。冒号等价于隐式 self：obj:method(...) → method(obj, ...)。定义时用 function Class:foo() 自动带 self。热更代码里混用易错，团队应统一风格。","1","Unity客户端（热更/脚本向）","Lua","技术知识"
"什么是浅拷贝与深拷贝？在 Lua 里如何实现深拷贝？","浅拷贝：table 赋值只复制引用，嵌套表仍共享。深拷贝：递归建新表并拷贝子表，注意循环引用可用已拷贝表做 memo；元表是否拷贝看需求。Lua 标准库无深拷贝，项目内常封装 copy 函数并在热更重载表时用。","3","Unity客户端（热更/脚本向）","Lua","项目经历深挖"
"如何理解 Lua 中的闭包？能举一个在热更或 UI 里常见的例子吗？","闭包是函数加上其捕获的非局部变量（upvalue）。不同调用可共享或隔离状态：例如计数器、迭代器、按钮回调捕获局部配置。注意 upvalue 生命周期与循环变量捕获坑（每迭代新建局部或用局部拷贝）。","1","Unity客户端（热更/脚本向）","Lua","技术知识"
"__index 与 __newindex 元方法分别处理什么？","__index：读表中不存在的键时触发，可为表或函数。__newindex：写新键时触发，可转发到代理表或做只读校验。二者是实现 OOP、只读表、默认值的核心。","1","Unity客户端（热更/脚本向）","综合","技术知识"
"面试里如何概括 Lua table 的核心特性？","关联数组：键可为多种类型（除 nil），默认数组索引从 1 起。大小动态增长；变量存引用。可存 function、嵌套 table。是 Lua 唯一复杂数据结构，面向对象与配置皆基于 table。","2","Unity客户端（热更/脚本向）","综合","技术知识"
"Lua 热更脚本的常见实现思路是什么？","require 会查 package.loaded，已加载模块直接返回缓存。热更可清除 package.loaded[name] 后重新执行新文件，或维护自定义加载器从热更目录读 lua/字节码。注意全局状态、单例、C 绑定对象生命周期；大模块可拆分减小重载粒度。","3","Unity客户端（热更/脚本向）","Lua","场景题"
"Lua 里「赋值」与「引用」对 table 意味着什么？","对 table 赋值变量名只是新增引用，不自动复制内容；修改一处影响所有引用。需要独立副本时应用浅/深拷贝。与 C# 引用类型类比，但 Lua 无值类型 table。","2","Unity客户端（热更/脚本向）","综合","行为题"
"除 table 赋值外，还有哪些情况会共享底层数据而非拷贝？","函数传参传 table、返回 table、闭包共享 upvalue、元表 __index 指向同一原型表等。热更替换模块时注意旧引用仍指向旧表，需统一入口刷新。","2","Unity客户端（热更/脚本向）","综合","技术知识"
"请说明：在 Unity 项目里 Lua 逻辑热更通常怎么落地？","脚本资源随 AB 或独立文件下发；启动或事件触发时重新加载：清 package.loaded、设置 package.path 或自定义 loader 指向热更目录、再 require。配合版本号与 MD5；出错要回滚到母包脚本。与 xLua 等还需注意 C# Delegate 与 Lua 函数绑定生命周期。","2","Unity客户端（热更/脚本向）","Lua","技术知识"
"Lua 从源码到执行大致经过哪些步骤？","读入文本 → 词法/语法分析生成字节码（官方实现）→ VM 解释执行。JIT 版（如 LuaJIT）另有轨迹编译。热更可预编译为 luac 字节码减少客户端解析开销。","2","Unity客户端（热更/脚本向）","Lua","技术知识"
"Lua 采用哪种 GC？核心思想是什么？","增量分代式三色标记清除（版本演进细节可查手册）：从根集合出发标记可达对象，清扫未标记块。增量降低卡顿，分代利用短生命周期对象更常被回收。","4","Unity客户端（热更/脚本向）","GC","场景题"
"以 Lua 5.x 为例，一次完整 GC 周期常包含哪些阶段（可概括说明）？","可答：暂停/初始化标记、传播标记（增量）、原子阶段（处理屏障与弱表等）、清扫可回收对象、终结器（finalize）阶段。具体命名随版本略有差异，面试说清「标记可达 + 清扫不可达 + 增量降低停顿」即可。","4","Unity客户端（热更/脚本向）","GC","技术知识"
"Lua 5.4 相对旧版在 GC 上有哪些值得提的变化？","5.4 引入分代 GC 等改进（实现细节以官方 release note 为准）：更利于短生命周期临时对象；整体仍三色标记清除家族。项目应实测 GC 步进与内存峰值。","4","Unity客户端（热更/脚本向）","GC","场景题"
"写 Lua 热路径时有哪些通用优化思路？","局部化全局（local 缓存 math/table）；避免热循环里拼大字符串（用 table.concat）；复用 table 减少临时表；少用pairs 在大表上频繁全表扫描；与 C# 交互批量合并调用；profiler 定位真热点再优化。","2","Unity客户端（热更/脚本向）","Lua","技术知识"
"Lua GC 五个阶段若按「标记-清除」增量实现应如何向面试官描述？","暂停：停 mutator 或短暂停顿初始化。标记传播：灰对象边扩散边与用户代码交错，靠写屏障保正确性。原子阶段：完成剩余标记与弱表等。清除：回收白对象。终结：调用 __gc。强调增量是为减停顿，非无 STW。","4","Unity客户端（热更/脚本向）","GC","项目经历深挖"
"什么是三色标记？增量 GC 为什么要写屏障？","白/灰/黑表示对象是否已扫描、是否待扫描、已完成扫描。增量时 mutator 可能把白对象挂到黑对象后，若无屏障会误删仍存活对象；屏障在指针写时保持不变式。","2","Unity客户端（热更/脚本向）","综合","技术知识"
"能否用一两句话说明 Lua GC 各阶段在时间轴上的关系？","初始化标记根 → 增量传播直至灰空 → 原子阶段收紧不变式 → 清扫堆 → 处理终结器队列；可与用户代码交错的是标记传播的主要部分。","2","Unity客户端（热更/脚本向）","综合","技术知识"
"GC 的「初始化/暂停」阶段主要做什么？","建立标记起点：从注册表、全局、栈上局部、C 注册等根出发将直接可达对象置灰；准备后续增量或全量标记。","4","Unity客户端（热更/脚本向）","GC","场景题"
"GC 的「传播标记」阶段在做什么？","从灰对象取出引用，把子对象标灰或黑，直至无灰对象；增量实现下分多步推进，配合写屏障。","4","Unity客户端（热更/脚本向）","GC","技术知识"
"GC 的「原子」阶段为什么必要？","在增量标记末尾一次性处理并发下难以边跑边做的收尾：如进入安全点完成剩余标记、处理屏障队列、弱表等，保证清扫前标记图一致。","4","Unity客户端（热更/脚本向）","GC","技术知识"
"GC 的「清扫」阶段做什么？字符串等特殊类型如何处理？","遍历堆将未标记（白）对象链回空闲列表或释放；字符串等有单独 sweep 路径（如 sweepstring）以处理内部化字符串表。","4","Unity客户端（热更/脚本向）","GC","技术知识"
