题目,答案要点,难度,相关岗位,标签,题目类型
请手写（或口述）冒泡排序的核心思路，其时间与空间复杂度如何？,相邻元素两两比较，逆序则交换，每轮将最大元素「冒」到末尾；可加标志位提前结束；时间平均与最坏 O(n²)，最好 O(n)，空间 O(1)；稳定排序。,2,Unity客户端（通用基础）,数据结构,技术知识
在 C# 中 Hashtable 与 Dictionary 的主要区别是什么？,Dictionary 为泛型，值类型无装箱，性能通常更好，键不存在抛 KeyNotFoundException 或用 TryGetValue；Hashtable 非泛型 object 键值，查找不存在键返回 null；二者遍历顺序都不保证与插入一致（Dictionary 顺序为内部实现细节）。,2,Unity客户端（通用基础）,数据结构,技术知识
如何求斐波那契数列第 n 项？递归写法有什么问题？,"面试应优先写 O(n) 迭代或滚动变量：F(0)=0,F(1)=1（或题设约定）递推；纯递归重复子问题指数级且栈深。大 n 注意溢出，用 long/BigInteger；可提矩阵快速幂 O(log n)。",2,Unity客户端（通用基础）,综合,项目经历深挖
请说明冒泡排序一趟扫描的过程，并对比它与选择排序的差异。,每轮从左到右比较相邻元素并交换，使未排序区间最大值就位；选择排序每轮选最小放到前部、交换次数更少；二者教学常用，大数据应用快排/归并/堆排序。,3,Unity客户端（通用基础）,数据结构,技术知识
游戏或客户端开发中，常用的基础数据结构有哪些？各自典型用途？,数组/列表顺序存取；栈递归与撤销；队列 BFS 与任务调度；链表频繁插入删除；哈希快速查找；堆优先队列；树/图场景导航与依赖；按访问模式与复杂度选型。,2,Unity客户端（通用基础）,综合,技术知识
数组在内存与访问特性上有什么特点？适用什么场景？,连续内存，随机访问 O(1)；定长或需扩容拷贝；插入删除中间元素 O(n)；适合索引遍历、缓冲区、固定上限集合。,2,Unity客户端（通用基础）,综合,技术知识
C# 的 List 与数组相比，解决了什么问题？,List 动态扩容，封装常用增删查；内部为数组，频繁 Add 可预设 Capacity 减少扩容；需要多维或栈上性能极致时仍用数组。,2,Unity客户端（通用基础）,综合,技术知识
数组与 List 在性能与语义上应如何选择？,已知长度且热路径用数组避免额外封装；长度变化频繁用 List；List 索引访问与数组同为 O(1)，但注意迭代中修改集合的问题。,1,Unity客户端（通用基础）,综合,技术知识
栈的特点是什么？有哪些典型应用？,后进先出；用于 DFS、撤销栈、函数调用栈、路径查找；C# 用 Stack 或 List 尾部模拟。,2,Unity客户端（通用基础）,内存,技术知识
队列的特点是什么？有哪些典型应用？,先进先出；用于 BFS、消息缓冲、调度；多线程下用并发队列；注意与栈在遍历顺序上的差异。,4,Unity客户端（通用基础）,综合,技术知识
链表与数组在插入删除与查找上如何权衡？,链表插入删除 O(1) 已知节点，查找 O(n)；数组查找 O(1) 按下标，中间插入 O(n)；内存上链表额外指针，缓存友好性通常弱于连续数组。,2,Unity客户端（通用基础）,数据结构,技术知识
什么是树与二叉树？二叉树常见应用有哪些？,树是分层父子结构，二叉树每节点最多两子；应用含搜索 BST、堆、表达式树、行为树、场景层级；遍历有前中后序与层序。,2,Unity客户端（通用基础）,数据结构,技术知识
哈希表（散列表）如何解决冲突？平均复杂度如何？,函数将 key 映射到桶，冲突用链地址或开放寻址；均摊 O(1) 查找插入，最坏退化需好的哈希函数与负载因子控制。,2,Unity客户端（通用基础）,综合,技术知识
二叉堆有什么性质？常用于哪些算法？,完全二叉树且父与子满足大小关系（大/小根堆）；用于堆排序与 TopK、优先队列；C# 可用 SortedSet 或第三方队列。,2,Unity客户端（通用基础）,内存,技术知识
图如何表示？邻接矩阵与邻接表怎么选？,顶点+边集合；矩阵适合稠密图、O(V²) 空间；表适合稀疏图；游戏寻路、技能依赖、资源引用常建模为图。,1,Unity客户端（通用基础）,综合,技术知识
二叉树前序、中序、后序遍历的含义与递归/非递归取舍？,前序根左右、中序左根右、后序左右根；递归简洁但栈深 O(h)，非递归用手写栈；中序 BST 得有序序列。,4,Unity客户端（通用基础）,数据结构,行为题
请简述几种常见设计模式在客户端中的典型用途。,单例配置与管理器；工厂/抽象工厂创建技能与 UI；观察者事件与消息；策略切换 AI；代理延迟加载与网络桩；避免过度使用单例全局态。,5,Unity客户端（通用基础）,综合,场景题
SOLID 中几项原则分别强调什么？,单一职责、开闭、里氏替换、依赖倒置、接口隔离；目标是高内聚低耦合，便于测试与扩展。,3,Unity客户端（通用基础）,综合,行为题
观察者模式要解决什么问题？与 C# event 的关系？,一对多通知，主题变化广播订阅者；event 是语言级观察者；注意取消订阅防泄漏与重入顺序。,2,Unity客户端（通用基础）,综合,技术知识
MVC 各层职责是什么？在 Unity 项目里如何近似落地？,Model 数据与规则，View 展示，Controller 协调输入；Unity 常把 MonoBehaviour 当 View/Controller 混合，可再拆服务层与 ViewModel。,2,Unity客户端（通用基础）,综合,技术知识
请按比较排序与非比较排序对常见算法分类，并各举几例。,比较类：快排、归并、堆排等，下界 O(n log n)；非比较：计数、桶、基数，需数据分布假设可达 O(n)；面试能说清稳定性与场景即可。,4,Unity客户端（通用基础）,数据结构,技术知识
如何判断一个整数是奇数还是偶数？除取模外有没有更高效写法？,n%2==0 为偶；位运算 (n&1)==0 为偶，避免除法；注意负数在语言中的语义一致。,3,Unity客户端（通用基础）,综合,技术知识
如何判断一个正整数是否为 2 的幂？,二进制只有一个 1，满足 n>0 且 (n&(n-1))==0；循环右移计数 1 亦可但慢。,3,Unity客户端（通用基础）,综合,技术知识
如何统计一个整数的二进制表示中 1 的个数（汉明重量）？,Brian Kernighan：n &= n-1 每次消去最低位 1，循环次数等于 1 的个数；或对 uint 用硬件 popcnt；注意有符号与无符号范围。,2,Unity客户端（通用基础）,综合,技术知识
从海量数据（如百万级）中找出前 K 大的元素，高效思路是什么？,维护大小为 K 的小顶堆，流式比较堆顶；复杂度约 O(n log K)；数据可外存时分块选 TopK 再归并；K 接近 n 时可直接排序。,2,Unity客户端（通用基础）,综合,项目经历深挖
二分查找的基本思想是什么？写二分时要避免哪些边界错误？,每次折半缩小区间，需区间定义与 mid 计算一致；常见坑是死循环与越界，分「左闭右闭」「左闭右开」两套模板并固定使用。,3,Unity客户端（通用基础）,综合,技术知识
