题目,答案要点,难度,相关岗位,标签,题目类型
使⽤用过的koa2中间件,常用koa2中间件包括koa-router（路由控制）、koa-bodyparser（解析请求体）、koa-static（处理静态资源）、koa-logger（请求日志记录）和koa-views（模板渲染）。这些中间件极大地方便了应用的开发与维护，提升了开发效率。,2,全栈开发/Node.js开发,Node.js、中间件、真题-阿里,技术知识
koa-body原理理,koa-body基于co-body和formidable构建。它拦截HTTP请求，读取流数据并将其解析为JSON、表单或多部分数据（包括文件上传）。解析后的数据会挂载到ctx.request.body和ctx.request.files上，方便后续中间件直接获取请求参数。,2,全栈开发/Node.js开发,Node.js、Koa、真题-阿里,技术知识
介绍⾃自⼰己写过的中间件,我曾编写过一个统一的错误处理中间件。它放置在洋葱模型的最外层，使用try...catch捕获内层抛出的所有异常。当捕获到错误时，中间件会记录日志并根据错误类型（如400参数错误，500服务器错误）返回统一的JSON格式响应，提升了API的健壮性。,2,全栈开发/Node.js开发,Node.js、中间件、真题-阿里,技术知识
有没有涉及到Cluster,Node.js是单线程的，通过Cluster模块可以创建多个子进程（worker），充分利用多核CPU。主进程（master）负责监听端口并接收请求，然后通过轮询（Round-Robin）机制将请求分发给各个工作进程处理，从而极大提升了应用的并发处理能力和稳定性。,3,全栈开发/Node.js开发,Node.js、cluster、真题-阿里,技术知识
介绍pm26. master挂了了的话pm2怎么处理理7. 如何和MySQL进⾏行行通信8. React声明周期及⾃自⼰己的理理解9. 如何配置React-Router10. 路路由的动态加载模块11. 服务端渲染SSR12. 介绍路路由的history13. 介绍Redux数据流的流程14. Redux如何实现多个组件之间的通信，多个组件使⽤用相同状态如何进⾏行行管理理15. 多个组件之间如何拆分各⾃自的state，每块⼩小的组件有⾃自⼰己的状态，它们之间还有⼀一些公共的状态需要维护，如何思考这块16. 使⽤用过的Redux中间件17. 如何解决跨域的问题18. 常⻅见Http请求头19. 移动端适配1px的问题20. 介绍flex布局21. 其他css⽅方式设置垂直居中22. 居中为什什么要使⽤用transform（为什什么不不使⽤用marginLeft/Top）23. 使⽤用过webpack⾥里里⾯面哪些plugin和loader24. webpack⾥里里⾯面的插件是怎么实现的25. dev-server是怎么跑起来26. 项⽬目优化27. 抽取公共⽂文件是怎么配置的28. 项⽬目中如何处理理安全问题29. 怎么实现this对象的深拷⻉贝？,（包含多个问题的汇总）PM2是Node.js应用的进程管理工具，支持负载均衡和自动重启。若master进程挂掉，PM2的守护进程会自动将其重启。PM2还可以监控内存和CPU占用。而与MySQL通信通常通过mysql2或ORM工具（如Sequelize、TypeORM）建立连接池进行SQL操作。,4,全栈开发/Node.js开发,React、JavaScript、CSS、Node.js、计算机网络、真题-阿里,场景题
master挂了了的话pm2怎么处理理？,PM2有一个底层的守护进程（God Daemon）在运行。如果应用的master进程意外崩溃，PM2的守护进程会检测到该进程退出，并根据配置策略（如自动重启）立即重新启动该进程，从而保证服务的高可用性和业务的不间断运行。,2,全栈开发/Node.js开发,Node.js、真题-阿里,技术知识
如何和MySQL进⾏行行通信？,在Node.js中与MySQL通信通常使用mysql2或mysql模块。首先建立数据库连接池（Connection Pool）以提高复用率。然后可以通过编写原生的SQL语句进行查询操作，或者使用ORM框架（如Sequelize、TypeORM）将数据库表映射为对象，以更面向对象的方式进行数据增删改查。,2,全栈开发/Node.js开发,数据库、真题-阿里,技术知识
React声明周期及⾃自⼰己的理理解,React类组件的生命周期主要分三个阶段：挂载（Mounting，如componentDidMount可发起请求）、更新（Updating，如shouldComponentUpdate可用于性能优化）和卸载（Unmounting，如componentWillUnmount清理定时器和订阅）。对于函数组件，Hook（如useEffect）则通过依赖数组综合替代了这些生命周期方法，使逻辑更加内聚。,3,web前端开发,React、真题-阿里,技术知识
如何配置React-Router？,配置React-Router通常引入BrowserRouter或HashRouter包裹应用的根组件。然后在内部使用Routes和Route组件（v6语法）定义路径与组件的映射关系。当URL改变时，Router会匹配相应的路径并渲染对应的组件。还可以通过配置嵌套路由来实现复杂的页面布局。,2,web前端开发,React、真题-阿里,技术知识
路路由的动态加载模块,路由的动态加载（懒加载）主要通过React.lazy()和Suspense组件实现。配合Webpack的动态import()语法，将不同路由对应的组件拆分成独立的Chunk文件。当用户访问该路由时，再异步加载对应的资源，从而减小首屏包的体积，提升首屏加载速度。,3,web前端开发,前端基础、真题-阿里,技术知识
