题目,答案要点,难度,相关岗位,标签,题目类型
package.json 文件中的 devDependencies 和 dependencies 对象有什么区别？,前端项目的package.json文件中，dependencies和devDependencies均用于指定项目依赖的软件包，但适用环境不同。dependencies是项目生产环境运行所需的依赖项，包含运行时的库、框架等，执行npm install或npm ci时默认安装，会被打包部署到生产环境；devDependencies是开发过程中所需的依赖项，如测试框架、构建工具等，需通过npm install --dev等命令安装，不会被打包到生产环境，仅用于开发阶段。,2,web前端开发,工程化、JSON,技术知识
webpack 5 的主要升级点有哪些？,webpack 5的主要升级点包含多个方面，引入了更优的持久缓存机制以提升构建性能，对Tree-shaking进行改进实现更好的代码优化，原生支持WebAssembly和ES6模块动态导入语法，新增模块联邦功能支持微服务架构下的模块共享，引入缓存组概念可细粒度控制模块缓存策略，重新设计optimization.splitChunks优化代码分割，优化默认配置提升开箱即用的性能，通过多项优化提高构建速度，同时移除了部分废弃特性，升级时需注意破坏性变化。,4,web前端开发,工程化、模块联邦、Webpack、Vite,技术知识
与webpack类似的工具还有哪些？区别？,与webpack类似的模块化打包工具主要有Rollup、Parcel、snowpack和Vite，gulp、grunt仅为构建工具不做类比。Rollup是轻量的ES Modules打包器，打包代码简洁高效，默认支持Tree-shaking，但对CommonJS模块支持差且无HMR，适合打包JS库而非应用；Parcel是零配置打包器，支持任意文件为入口，推荐HTML入口，自动安装依赖、支持HMR，多进程构建速度快，无需配置loader即可加载各类资源，给开发者高自由度；Snowpack利用原生ES模块，开发阶段每个文件仅构建一次并永久缓存，文件变更时仅重新构建该文件，避免整体打包的时间浪费；Vite基于原生ES模块，开发服务器启动快、HMR即时且按需编译，生产环境用Rollup打包，具备快速冷启动、即时热更新和按需编译的特点；webpack则大而全，兼容多种模块化语法，支持各类资源打包，开箱即用HRM、Tree-shaking等功能，代码分割能力强，插件系统灵活，生态丰富，适合复杂应用开发。,3,web前端开发,工程化、Webpack、Vite、Rollup,技术知识
说说如何借助webpack来优化前端性能？,借助webpack优化前端性能可从多方面入手，首先是文件压缩，使用TerserPlugin压缩JS代码，通过css-minimizer-webpack-plugin压缩CSS，利用HtmlWebpackPlugin的minify属性压缩HTML，还可通过compression-webpack-plugin对css、js文件进行gzip压缩减少宽带损耗；其次是图片压缩，使用image-webpack-loader对png、jpg、gif等图片进行压缩，甚至将jpg、png转为webp格式；然后是Tree Shaking消除死代码，通过设置usedExports标记未使用代码供Terser优化，或在package.json中设置sideEffects标识模块是否有副作用，还可使用PurgeCssPlugin对CSS进行Tree Shaking；另外可通过splitChunksPlugin进行代码分离，将代码拆分为更小的bundle，按需或并行加载，控制资源加载优先级；也能通过InlineChunkHtmlPlugin将runtime等小体积chunk内联到html中，减少HTTP请求次数，整体从减小文件体积、优化加载方式等维度提升前端性能。,3,web前端开发,工程化、Tree Shaking、HTTP、Webpack,技术知识
说说webpack proxy工作原理？为什么能解决跨域？,webpack proxy是webpack提供的代理服务，依托webpack-dev-server实现，其本质是利用http-proxy-middleware中间件转发客户端请求到其他服务器。配置上在devServer的proxy属性中设置匹配规则，包含target（代理目标地址）、pathRewrite（重写路径）、secure（是否支持https代理）、changeOrigin（是否更新host头）等参数。开发阶段本地应用运行在localhost的端口，后端服务在另一地址，浏览器同源策略导致跨域，而proxy设置后，本地请求先发送到webpack-dev-server启动的代理服务器，代理服务器转发请求到目标服务器，目标服务器响应后数据返回给代理服务器，再由代理服务器响应给本地浏览器，服务器间请求无跨域限制，且代理服务器与本地浏览器同源，从而解决跨域问题。,4,web前端开发,工程化、同源策略、跨域、Proxy、Webpack,技术知识
说说webpack的热更新是如何做到的？原理是什么？,webpack的热更新即HMR（Hot Module Replacement），可在应用运行时替换、添加、删除模块而无需刷新整个应用，配置上需在devServer中开启hot: true，且需手动指定哪些模块更新时触发HMR。其原理分为启动和更新阶段，启动阶段Webpack Compile将源代码和HMR Runtime编译成bundle文件传输给Bundle Server静态资源服务器；更新阶段，文件修改后webpack监听变化并重新编译打包，生成唯一hash值，以及包含hash和chunkId的manifest补丁文件和chunk.js模块补丁，HMR Server与浏览器中的HMR Runtime通过websocket建立长连接，服务端推送包含hash值的消息给浏览器，浏览器通过ajax请求获取manifest文件，再根据该文件获取变化的模块内容，触发render流程实现局部模块更新。整个过程由webpack-dev-server创建express静态资源服务器和socket服务器，socket服务器监听文件变化生成补丁文件并推送给浏览器，浏览器通过HMR runtime加载补丁完成模块更新。,4,web前端开发,工程化、WebSocket、Express、Webpack、热更新,技术知识
面试官：说说Loader和Plugin的区别？编写Loader，Plugin的思路？,Loader和Plugin核心区别在于功能和运行时机，Loader是文件加载器，运行在打包文件之前，本质是转换器，将一种文件转换为另一种文件，如将less转为css；Plugin赋予webpack灵活功能，贯穿整个编译周期，可监听webpack生命周期事件，通过API改变输出结果。编写Loader需遵循其本质为函数（不能是箭头函数，因需使用webpack填充的this上下文），接受文件源内容作为参数，this.query可获取配置的options，同步操作直接返回string或Buffer类型的处理结果，异步操作通过this.callback返回，返回值包含error、content、sourceMap、ast等，编写时需保持功能单一，可通过多个Loader链式调用完成复杂转换。编写Plugin需遵循规范，插件需是函数或包含apply方法的对象，apply方法接收compiler实例，通过监听compiler或compilation的钩子事件执行自定义逻辑，compiler包含webpack环境所有配置和生命周期钩子，compilation包含当前编译的资源、模块等状态，异步事件需调用回调函数通知webpack，避免卡住流程，常用钩子如emit可在输出资源到磁盘前修改内容。,3,web前端开发,工程化、Source Map、箭头函数、发布订阅,技术知识
说说webpack中常见的Plugin？解决了什么问题？,webpack的Plugin贯穿编译周期，通过监听生命周期事件扩展功能，配置时在plugins数组中传入实例对象。常见的HtmlWebpackPlugin可在打包结束后自动生成html文件，并引入打包后的js模块，支持自定义标题、文件名、模板等；ProgressPlugin可展示webpack构建进度；CleanWebpackPlugin能在打包前清理输出目录，避免旧文件残留；MiniCssExtractPlugin可将CSS从bundle中提取为单独的CSS文件，便于缓存和加载；DefinePlugin可在编译时向代码中注入环境变量；CopyWebpackPlugin能将指定文件或目录复制到输出目录；CompressionWebpackPlugin对输出文件进行压缩，减少传输体积；PurgeCssPlugin实现CSS的Tree Shaking，移除未使用的CSS样式；InlineChunkHtmlPlugin将指定chunk内联到html中，减少HTTP请求；每个Plugin针对不同场景解决loader无法实现的问题，如打包优化、资源管理、变量注入等。,2,web前端开发,工程化、Hooks、接口、Webpack,技术知识
说说webpack中常见的Loader？解决了什么问题？,webpack中Loader是文件加载器，运行在打包前，负责转换各类资源文件。常见的css-loader可解析CSS文件中的@import和url()等语法，将CSS转换为模块；style-loader将处理后的CSS通过style标签注入到HTML页面中；less-loader/ sass-loader分别将less/sass预编译样式文件转换为CSS；babel-loader结合Babel将ES6+等新语法转换为兼容的JS代码；file-loader处理图片、字体等静态资源，将文件输出到指定目录，并返回文件路径；url-loader可将小体积文件转为base64编码嵌入代码，减少HTTP请求，超过指定大小则使用file-loader处理；image-webpack-loader对图片进行压缩优化，减小图片体积；ts-loader将TypeScript代码转换为JavaScript；eslint-loader在打包过程中检查JS代码规范，发现语法错误或规范问题；每个Loader专注于单一功能，解决特定类型文件的加载和转换问题，使webpack能处理非JS类型的资源。,3,web前端开发,工程化、正则表达式、Webpack、import,技术知识
说说webpack的构建流程？,webpack的构建流程整体分为初始化、编译、输出三个阶段。初始化阶段，webpack会读取配置文件或命令行参数，初始化compiler对象，加载配置的插件和Loader，确定入口文件路径；编译阶段，从入口文件开始，调用对应的Loader对文件进行转换处理，解析文件中的依赖关系，递归处理所有依赖的模块，生成AST抽象语法树，再将AST转换为可执行的代码块（chunk）；输出阶段，将编译生成的chunk整合为bundle文件，根据配置的输出路径和文件名，将文件写入磁盘，在整个流程中，插件会监听compiler和compilation的各类生命周期钩子，在不同阶段执行自定义逻辑，如在emit阶段修改输出资源，在done阶段完成构建后处理。,3,web前端开发,工程化、Context、Hooks、Webpack,技术知识
