"题目","答案要点","难度","相关岗位","标签","题目类型"
"Unity 中托管堆 GC 一般在什么情况下触发？如何从工程习惯上减少 GC 压力？","当堆增长或分配达到阈值时回收无引用对象；减少 Update/热路径上的 new、装箱与字符串拼接，用 StringBuilder、对象池、CompareTag 替代 tag 比较；物理查询优先 NonAlloc 重载；Profiler 的 GC Alloc 视图定位热点。","3","Unity客户端开发","GC","技术知识"
"在 Unity 项目中可以从哪些方向优化内存占用？","压缩音频与剥离无用引擎模块；暂不用对象 SetActive 而非频繁 Destroy/Instantiate；卸载 AssetBundle 与纹理/Mesh 的冗余副本；控制模型面数、骨骼数、贴图尺寸与格式；善用光照贴图、LOD、Shader 变体裁剪；减少脚本侧临时集合与缓存泄漏。","4","Unity客户端开发","内存","技术知识"
"做 UGUI 性能优化时，有哪些常见且有效的手段？","同屏图集化、减少图文交叉打断合批；关闭无用 RaycastTarget；动静 Canvas 分离降低网格重建；控制层级重叠与 Overdraw；列表用虚拟化或对象池；大图拆图集与合理压缩格式。","2","Unity客户端开发","综合","技术知识"
"除资源规格外，日常开发里还有哪些「减内存」的落地做法？","同上题思路强调执行层：AB 及时 Unload、避免材质 renderer.material 隐式实例化、少用 Read/Write 贴图与过大 RenderTexture、配置表按需加载、Profiler Memory 对比场景进出。","4","Unity客户端开发","内存","技术知识"
"请系统说明Unity中GC频繁触发的根本原因是什么？结合实际项目列举可操作的规避手段？","根因是托管堆分配与引用图扫描，目的是防泄漏与堆膨胀；手段包括：热路径零分配、池化、NonAlloc API、避免闭包与 LINQ 在帧循环中滥用、字符串与 StringBuilder 规范、减少反射与序列化临时对象；用 Deep Profiler/Memory Profiler 验证。","4","Unity客户端开发","GC","项目经历深挖"
"CPU 侧（逻辑与脚本）有哪些值得在面试中展开的性能要点？","逻辑与表现解耦、热点分帧与限频；同屏实体/特效管理与距离裁剪；日志与字符串拼接管控；GPU 蒙皮/Instancing；Optimize Game Objects；UI 动静分离；减少 C# 与 Lua 跨语言调用与参数体积；Cache 组件引用；IL2CPP；MaterialPropertyBlock 替代反复改材质。","5","Unity客户端开发","综合","场景题"
"GPU 侧（填充率与带宽）常见优化思路有哪些？","排序减少 Overdraw；动态分辨率；慎用 GrabPass；地形层数与采样控制；LOD 与遮挡；Shader 顶点输入精简、half/fixed 精度；阴影分辨率与距离；合并后处理与减少 blit；减少昂贵数学与分支；移动平台慎用默认遮挡剔除方案。","5","Unity客户端开发","综合","技术知识"
"针对纹理、Shader 与场景节点，内存侧可检查哪些项？","纹理尺寸/格式/mipmap/是否可读写；Shader 变体爆炸用 feature 替代 multi_compile；Mesh 可读写与顶点属性；配置表与容器容量；Profiler 看 GC 与托管堆；动画曲线精简；控制场景 GameObject 数量。","4","Unity客户端开发","内存","技术知识"
"什么是 Draw Call？过高会有什么影响？Unity 中如何降低？","CPU 向 GPU 提交一次绘制批次的过程，过高增加驱动与状态切换开销；手段含静态/动态合批、SRP Batcher/GPU Instancing、合图集与同材质、减少材质种类、遮挡与 LOD、UI 合批与 Mask 选型。","3","Unity客户端开发","综合","行为题"
"大型 UI 界面在工程上如何拆分与预加载以控制卡顿？","按功能拆 Canvas/Prefab，隐藏面板独立打包；预加载阶段完成资源与实例化；滚动列表对象池；TMP/字体与图集规划；高低清资源分档；机型分档切换质量。","4","Unity客户端开发","综合","场景题"
