题目,答案要点,难度,相关岗位,标签,题目类型
不会冒泡的事件有哪些？,focus：当元素获得焦点时触发，例如通过键盘或鼠标点击；blur：当元素失去焦点时触发；focusin：与 focus 类似，但会在元素或其父元素上触发（冒泡），因此这个事件是特例。；focusout：与 blur 类似，但会在元素或其父元素上触发（冒泡），因此这个事件是特例。；load：当图像、音频、视频或其他资源加载完成时触发；unload：当页面即将被导航离开时触发；stop：通常与 media 元素相关，例如 audio 或 video 元素；readystatechange：当 document 的 readyState 改变时触发；scroll：当元素滚动时触发,1,web前端开发,JavaScript、DOM,技术知识
mouseEnter 和 mouseOver 有什么区别？,事件冒泡：；mouseenter：这个事件在鼠标指针首次进入特定元素（或其子元素）时触发；mouseover：这个事件在鼠标指针移动到某个元素上时触发，不论它是直接在这个元素上触发还是在其子元素上触发；事件触发范围：；mouseenter：当鼠标进入元素自身时触发，只在目标元素上触发，不会因为鼠标移动到其子元素上而再次触发。；mouseover：不仅在目标元素上触发，也在其子元素上触发；事件对象的属性：；mouseenter：事件对象通常会有 relatedTarget 属性，它指向鼠标移动前的那个元素；mouseover：事件对象也会有 relatedTarget 属性，通常指向从中离开的那个元素。；mouseenter 更适合用来检测鼠标首次进入某个元素时的行为。,2,web前端开发,JavaScript、事件冒泡,技术知识
MessageChannel 是什么，有什么使用场景？,Web Workers 通信：在 Web 开发中，MessageChannel 通常用于在主线程和 Web Worker 之间建立通信通道，以便主线程与 Worker 之间传递消息和数据。；不同浏览上下文（browsing context）之间的通信：在现代浏览器中，多个标签页、iframe 或者其他类型的 browsing context 可以通过 MessageChannel 实现通信。；SharedWorker 通信：MessageChannel 可以用于在主线程和 Shared Worker 之间建立通信通道。；服务端和客户端之间的通信：MessageChannel 可以用于客户端（如浏览器）与服务端（如 WebSocket 服务器）之间的通信，特别是在与 WebSocket 或其他类似技术结合使用时。；异步任务处理：在某些场景中，使用 MessageChannel 可以更方便地处理异步任务，因为它提供了独立于主线程的通信通道。,3,web前端开发,JavaScript、Web Worker、Context、WebSocket,技术知识
async、await 实现原理,"回调函数；Promise；async、await；generator；gen() 不会立即执行，而是一上来就暂停，返回一个 Iterator 对象（具体可以参考 [<span style=""color: rgb(36,91,219); background-color: inherit"">Iterator遍历器</span>](https://link.juej…；每次 g.next() 都会打破暂停状态去执行，直到遇到下一个 yield 或者 return；遇到 yield 时，会执行 yield 后面的表达式，并返回执行之后的值，然后再次进入暂停状态，此时 done: false 。；next 函数可以接受参数，作为上个阶段异步任务的返回结果，被函数体内的变量接收；遇到 return 时，会返回值，执行结束，即 done: true；每次 g.next() 的返回值永远都是 {value: ... , done: ...} 的形式",5,web前端开发,JavaScript、Promise、Generator、const,场景题
Proxy 能够监听到对象中的对象的引用吗？,Proxy可以监听到对象中的对象的引用。；当使用Proxy包装一个对象时，可以为该对象的任何属性创建一个拦截器，包括属性值为对象的情况。；下面展示了如何使用Proxy来监听对象中对象引用的变化：；我们通过Proxy创建了一个代理对象proxyObj，它包装了原始的obj,3,web前端开发,JavaScript、Proxy、Reflect、const,技术知识
"如何让 var \[a, b] = {a: 1, b: 2} 解构赋值成功？","题目问怎么能让var \[a,b] = {a:1,b:2} 成立，那么我们首先要运行一下，看看它是怎么个不成立法。；运行之后打开控制台可以发现报错信息，它告诉我们obj这个对象是不可迭代的，那么我们想办法把obj变成可迭代的是不是就能解决这个问题，这要怎么做呢？想要搞明白这点我们需要先了解一下可迭代协议。；可迭代协议的概念（ MDN ）；<span style=""color: inherit; background-color: rgb(242,243,245)""可迭代协议允许 JavaScript 对象定义或定制它们的迭代行为，例如，在一个 </spanfor..of<span style=""color: inherit; …",2,web前端开发,JavaScript、原型链、Iterator、Symbol、var,技术知识
下面代码会输出什么？,首先，函数 foo 的函数声明被提升到作用域的顶部；然后，变量 foo 被声明，并且由于它已经被函数 foo 的定义所覆盖，因此这个变量声明没有改变函数 foo 的值。；接下来，函数 foo 被调用，输出结果为 1。；最后，变量 foo 被重新赋值为一个新的函数表达式，该函数输出结果为 2。,3,web前端开发,JavaScript、作用域、var,技术知识
描述下列代码的执行结果,console.log(this);: 打印函数 foo 的执行上下文中的 this 值；console.log(p);: 打印参数 p 的类型；console.log(typeof b);: 打印变量 b 的类型,3,web前端开发,JavaScript、暂时性死区、this、let,技术知识
什么是作用域链？,作用域链（Scope Chain）是 JavaScript 中用于查找变量和函数的一种机制；作用域链是由当前执行环境（Execution Context）中的变量对象（Variable Object）以及其父级执行环境的变量对象组成的；作用域链的形成是由函数定义时的位置来决定的，而不是函数调用时的位置；作用域链的重要性在于它决定了变量和函数的访问权限,3,web前端开发,JavaScript、作用域链、作用域、Context,技术知识
bind、call、apply 有什么区别？如何实现一个bind？,三者都可以改变函数的this对象指向；三者第一个参数都是this要指向的对象，如果如果没有这个参数或参数为undefined或null，则默认指向全局window；三者都可以传参，但是apply是数组，而call是参数列表，且apply和call是一次性传入参数，而bind可以分为多次传入；bind 是返回绑定this之后的函数，apply 、call 则是立即执行；修改this指向；动态传递参数；兼容new关键字,4,web前端开发,JavaScript、this、let、const,场景题
